character,line
Britta,"Good for you, Shirley. What's the saying? If you can't stop 'em, judge 'em?"
Shirley,"Well, somebody's gotta be this group's moral compass."
Britta,"And that somebody has to be you, right? Because by moral compass, you mean Shirley's religion."
Shirley,(offended) Well...
Britta,(picking up her car keys) Want a ride?
Shirley,"Well, if this is a forecast of the conversation, I will ride with somebody else."
Pierce,"Don't worry, Shirley. Keep me company while I fix this and I'll give you a ride over there. (He looks up. The room is empty.)"
Shirley,(off-screen; running after Britta) Britta! (
Scene,Clothing store. Jeff hears a voice behind him and turns around.)
Dean Pelton,"Well, hey there, stranger! (Pelton walks up to him, overly-pleased, adjusting a pair of sunglasses on his head and holding a large drink.)"
Pelton,"What a coincidence, huh? This is just like that, uh, Lake House movie. I can only assume. Even I have limits."
Jeff,(not pleased at all) Dean Pelton.
Pelton,"Jeff, it's Saturday. Call me Craig. Off campus, I'm just a craigular Joe. Ooh, what'd you get? (feeling Jeff's shirt over his abs) Ah, now I feel like I have to head back out there."
Jeff,"Dean—uh, Craig, it's nice to see you but I actually have to run. (walks away)"
Pelton,"Oh, yeah, you're probably heading to help Annie move. Right? (Jeff turns around, frowning) Oh, I follow Troy and Abed on Twitter. Looks like Annie's moving and you're... (consulting his phone) Sick at the hospital? Curious. (raising his eyebrows) I might head there myself. I could tell them you said hi."
Jeff,I'd rather you didn't.
Pelton,"Well, maybe I won't have time. Especially if we're doing... Lunch? (He sucks on the straw of his drink for a long time without breaking eye contact as Jeff glares at him.) ("
Scene,Britta's car. Britta is driving with Shirley in the passenger seat and a bunch of Annie's boxes in the back.)
Britta,"(to Shirley) Yeah, but your religion isn't the same as morality. And calling me amoral because I'm atheistic is religious persecution."
Shirley,How can I religiously persecute you? You don't have a religion.
Britta,"(exaggerated) Oh, look! A hitchhiker. A person in need. Oh, my God. What am I doing? I'm pulling over to help him out."
Shirley,(urgently) Do not help him out.
Britta,"Why, because it proves the existence of secular morality?"
Shirley,"No, because he looks stinky."
Britta,"Judge not, Shirley. Judge not. (She gestures the hitchhiker inside.)"
Hitchhiker,"I really appreciate it, thank you."
Britta,"Where are you headed, fellow human?"
Hitchhiker,Riverside Falls?
Shirley,That's 40 minutes away!
Britta,"Oh, I guess I'm just a really good person."
Hitchhiker,I knew you were. I could see the kindness in your faces. (Britta smiles smugly) I assume you've both accepted Jesus Christ as your lord and savior? (Britta's smile fades as Shirley's grows huge.)
Shirley,"(slowly, to Britta, savoring it) Oh, that's nice! ("
Scene,"Annie's apartment. Pierce is jamming a screwdriver into Annie's wall outlet, trying to fix it. It sparks.)"
Pierce,"Ow! (He lets go of the screwdriver and it pierces, no pun intended, the wall behind him. Electricity sizzles along the wires in the apartment wall, leaving noticeable black singe marks, until finally it shorts out a light.)"
Pierce,Needed a coat of paint anyway. (
Scene,"Troy and Abed's apartment. Troy, Abed, and Annie enter, all carrying cardboard boxes.)"
Abed,"Welcome, Annie, to your new home. (Annie smiles. They put down their boxes.)"
Abed,"Okay... (pointing around) To reacquaint you, there's the bathroom, kitchen, and, of course, our bedroom. And if the room's a rockin', please come a-knockin' because there's something probably terribly wrong."
Troy,"Yeah, we're pretty chill in there."
Abed,"Mm-hmm. Now let's go see your room. (They lead her to the middle of the living room as Annie giggles, then stop. Annie looks, perplexed, at something off-screen.)"
Annie,"What's that? (Star Wars blankets and curtains hang from the ceiling, cordoning off part of the living room.)"
Abed,(gesturing to the blankets) That is your room.
Annie,You said this was a two-bedroom.
Troy,"It is. One (points to his and Abed's room), two (points to blankets). Yours is a blanket fort."
Abed,"An awesome blanket fort. But still highly flammable, so no candles."
Troy,What do you think?
Annie,"(trying to shake herself up loosey-goosey, but noticeably more tremulous) Tweet it?"
Troy And Abed,(in unison) Tweeting it! (Troy takes a cellphone picture of Annie's weak smile.) ***ACT 2*** (
Scene,"Troy, Abed, and Annie's apartment, in front of the blanket fort.)"
Abed,I am not surprised you're so taken aback. This apartment is where dreams come true. (Opens blanket fort)
Troy,"We spent our whole lives being told that blanket forts are only for special occasions, like sleepovers or when uncles die. But that's a lie, Annie. You can live in a fort of blankets all day, every night."
Annie,(still pretending to be happy) It's so awesome. I'm surprised you guys haven't chosen to live in one.
Abed,"Well, we'll be spending enough time in yours. I mean, it's where we're gonna watch TV. (Troy and Abed both point to the TV in Annie's blanket fort.)"
Annie,"Right. (Walks away, still trying to shake herself up, but then notices something and points to it.) Uh, what's that door over there? That's not a bedroom? ABED &"
Troy,"(in unison) No. Oh, no, no, no."
Annie,Is it a linen closet?
Troy,Something like that. What's a linen closet? (Annie looks pained.) (
Scene,A Mexican restaurant.)
Jeff,(monotone) A siesta salad and an iced tea.
Waiter,Excelente. (to the other person at the table) And for you? (The person at the other side of the table is Dean Pelton. He looks at Jeff expectantly.)
Pelton,Ahem.
Jeff,(opens his menu) The gentleman...
Pelton,(sounding flattered) Oh...
Jeff,…will have a top notch-os and a watermelon Margarita.
Pelton,"Thank you, Jeffrey. (The waiter takes their menus and walks away.) So, any brothers or sisters?"
Jeff,(to the waiter) And we'll take the check too.
Pelton,Oh! What's the rush?
Jeff,"We're eating lunch, and then I'm leaving."
Pelton,"Okay. I just hope that I don't bump into your study group on Monday. And I pray they don't ask me who I saw at the mall on Saturday. (Jeff furrows his brow) Because, unlike a certain someone, I just don't think I could lie to those sweet people."
Jeff,"(low voice) Dean, this is blackmail."
Pelton,"Ah! Call me Craig. And call blackmail ""a day at the mall with Craig."" Because that's all I require, Jeffrey. You and I are going to have some fun. And create a few memories. And I suggest you get into it. Because that counts. (A mariachi band approaches.)"
Mariachi Trumpet Player,"A song for the señor, señor?"
Jeff,"(exhales slowly) Adiós, amores. (The band begins to play.)"
Pelton,"Oh, what a surprise. (Pleased, he eats a chip from the table.) ("
Scene,Annie's apartment. Pierce has a can of paint for the wall.)
Pierce,"(straining to open the can) Mmm! (He finally opens it, but it spills all over the floor.)"
Pierce,"(quietly) Jeez. (He gets a wooden spoon that's been holding up a window; the ruler that's been holding up the other end begins to bend under the weight. He tries to use the spoon to get the paint back in the can. Failing that, he grabs a paint roller and tries to evenly distribute the paint across the wooden floor. In the background, the ruler snaps and the window slams shut. We get a close-up of the paint can, which reads: ""HAZARDOUS FUMES."")"
Pierce,This is…This is actually quite calming for some reason…. (
Scene,Britta's car. The hitchhiker is still in the back.)
Hitchhiker,And that's when I realized I had to forgive them.
Shirley,"(moved nearly to tears) That's a beautiful story. So inspiring how he came to find the Lord. Isn't it, Britta?"
Britta,"(sarcastically) Yeah, yeah."
Hitchhiker,"Well, I didn't exactly have to find the lord. He was inside me."
Shirley,"(enthusiastically) Amen! What's your name, friend?"
Hitchhiker,Jesus.
Shirley,Oh. Are you Latino?
Hitchhiker,"No, my child. I am him."
Shirley,You're what now?
Hitchhiker,I am the one true son of God. I was sent here to save humanity. (Shirley's smile fades as Britta's grows huge.)
Shirley,"Oh, no."
Britta,"Well, it is a pleasure to have you in my car, Jesus."
Shirley,"Britta, stop. It's not funny now."
Britta,"Hey Jesus, just curious, what's your position on marijuana?"
Hitchhiker,It was given to us by God. It should be legal.
Britta,"Oh, that's nice. (Shirley shakes her head, looking dismayed.) ("
Scene,"Troy and Abed's apartment. Annie is trying to customize her blanket-fort room by hanging up her Intercollegiate Debate League certificate on one of the blankets, but the blanket tears and it falls. She turns away, sadly.)"
Troy,"(off-screen) Hear me, hear me! (Trumpeting is heard off-screen. Annie turns, curiously, to a wall of her blanket fort that's lit up from behind. Troy and Abed are holding up shadow puppets behind it.)"
Abed,"(off-screen) Presenting the real-life fairy tale of how Princess Annie (holds up a princess shadow puppet) was saved from Bad Neighborhood Forest (they hold up puppets of buildings and trees) by Woodsman Troy. (They hold up a woodsman puppet. Annie begins to smile as she watches the show.) And Bebad, his emotionally unavailable unicorn. (He holds up a unicorn puppet and neighs. Annie laughs.)"
Troy,Brought to you by the girl-yogurt Jamie Lee Curtis uses to poop. (He makes a fart noise with his mouth.)
Abed,There's a package of it in the fridge as a welcoming gift. (They lower the shadow puppets.)
Troy,"Now, once upon a time there was a beautiful princess named Annie. (Holds up the princess shadow puppet and makes her ""speak"" in a high-pitched voice.) Hi."
Abed,"Who was harassed every day by Count Spaghetti. (They hold up puppets of a crazy-looking guy and a syringe, repeatedly ""injecting"" the syringe puppet into the crazy guy puppet's arm. Abed makes Count Spaghetti do a villainous laugh.) The evil cracksmith who lived outside of her building. (Annie, cheered up now, sits down on some pillows in her fort to watch the show.) ("
Scene,Karaoke place with a green-screen. Dean Pelton and Jeff enter.)
Pelton,"Whoa! I just stand here? (to Jeff, off-screen) Oh, come on, Jeffrey. Get in here! (Jeff reluctantly enters; Pelton gives him a microphone.) This is gonna be fun! Or else. So we just punch in the numbers?"
Karaoke Place Attendant,(off-screen) That's right.
Pelton,"(punching in four numbers) Okay, you know this one, Jeff. We've sang it a thousand times together in my mind. (Kiss From A Rose starts playing, and the background becomes a badly-greenscreened beach at sunset.)"
Pelton,"Huh, huh? (Jeff is silent.) Oh come on, Jeffrey. Make or break time. Unless you want to be back here next Saturday. (Jeff reluctantly raises the microphone to his mouth.)"
Jeff,(singing) There used to be a graying tower alone on the sea…
Pelton,"(singing passionately) You became the light on this dark side of me (The song continues playing as we cut to Pierce in Annie's apartment. The floor is now completely covered in wet paint, and Pierce, high on paint fumes, is passed out on the floor making snow angels in it. We cut to Pierce's mind, where he's hallucinating that a much younger version of himself is playing piano, surrounded by attractive hula dancers.) (As the song continues playing, we cut to Troy, Abed, and Annie's apartment. The puppet show is still going; Troy and Abed are beatboxing under a scene of Princess Annie, Woodsman Troy, and Bebad the Emotionally Unavailable Unicorn. Annie laughs at the show.) (Cut back to the karaoke place, where Jeff and Dean Pelton are both singing now, with more greenscreened backgrounds behind them.)"
