character,line
Chang,"Ricky Nightshade, the rock and roll magician."
Jeff,I'm starting. I need a volunteer.
Chang,I'll k*ll anyone who raises their hand.
Jeff,Pick a card and look at it. Strap him!
Troy,I'm in.
Troy,"Okay, it was just my head before, but now I'm really in."
Annie,Bingo. 4-1-2-6. I'm in. Where's the key?
Britta,I'm in.
Annie,I know.
Britta,"Well, everybody else got to say it."
Jeff,Is this your card?
Chang,Huh? I don't remember.
Chang,"Nightshade, nightshade!"
Pierce,"Greetings, greetings, baba ghanoush. Take me to the birthday boy."
Chang,Wait a minute. Pierce?
Pierce,"No, not knowing this Pierce. I... I am a mystical swami. I come to boogie down, I'm boogying down. Hey!"
Pierce,"Jeff, we've been made. Cover me!"
Chang,Winger! No!
Carl,"Everything all right, Ben?"
Chang,"Peachy keen, Avril Lavigne. Nathan, tell me you got eyes on the Dean."
Nathan,"Negative, the pixie has left the toadstool."
Chang,No! Where's my monitor? Gotcha. Code Chang. All units converge on the south library hallway.
Jeff,"The best part of the plan is that at a certain point, it's going to look like the plan is failing. But that's when it's going to turn out that the failing plan was all part of the plan."
Girl,Chang eats the sun and drinks the sky
Abed,"Hey, Johnny Passerby, this job's getting bigger than my wife's credit card bill at Marshalls. I mean, they got great stuff, I know that. Anyway, I'm going to need your Dean for approval."
Fake Dean,"Craig. Is that ""a-i"" or ""i-a""? I always forget."
Troy,"Oof baboof, I spilled plumber's acid all over yous."
Fake Dean,What do I do? What do I do?
Abed,Take off your clothes.
Chang,"Nathan, tell me you got eyes on the Dean."
Nathan,"Negative, the pixie has left the toadstool. Repeat, the pixie has left the toadstool."
Dean Pelton,"Jeffrey! Oh... Hey, Britta."
Chang,How the Chang?
Fake Dean,"I'm contaminated with plumber's acid, but it's okay, they're coming back with a lotion."
Chang,"Sar-cas-tic claps. Pretty clever. A plan that looked like it failed, and then turned out to work. Too bad your real plan really failed."
Chang,What's so funny?
Pierce,"You idiot. The plan was for the plan to seem like it was failing. You think you caught us, but we've already made it out with the real Dean. Ocean's eleven, baby."
Dean Pelton,"Pierce, I'm the real Dean."
Shirley,Getting caught the first time was part of the plan. This time is because we suck.
Pierce,"Shirley, where the hell did you come from?"
Jeff,You can't hold us here forever.
Chang,"I don't need to, Winger. I just wouldn't want you to leave before the big fireworks show."
Pierce,Fireworks show?
Chang,"It's a surprise for the end of the night planned by the ""Dean."" Only, silly Dean, he stored all the fireworks in the records room. Aw. And when the works ""accidentally"" go off when I hit the final note on my awesome keytar solo, they'll burn up the school's records and all evidence of my misdeeds."
Troy,"Chang, you're insane. You're still into keytar?"
Britta,We're going to tell the board what you did!
