character,line
Abed,"Hey, as long as it's still made out of blankets, right?"
Troy,These will be perfect for the Pierce's Mom Memorial Tunnel.
Jeff,"So this is night school, but where's Professor Woolley's class? How about this one?"
Annie,"No, that's Professor Huyck's class: ""History of Something."""
Jeff,You can't pronounce it?
Annie,"No, it literally says ""History of Something."""
Jeff,"Let me see that. ""Principles of Intermediate""? ""Studyology""? ""Class 101""? Look, this one just says ""Learning!"" With an exclamation point. Hello, Professor Professorson. Or should I say Woolley?"
Annie,"What class are you teaching tonight, professor?"
Professor Woolley,Math.
Annie,Math?
Professor Woolley,Uh-huh.
Jeff,Do you mind if we sit in?
Professor Woolley,Not at all. Right this way.
Annie,"So, what kind of math do you teach, professor?"
Professor Wolley,"Oh, you know, math. Uh... Numbers. Pi. New math. Um..."
Annie,Get him! He went into that blanket fort. I think he went this way.
Jeff,You see him?
Annie,No.
Woman,Come on.
Annie,"Troy, Abed."
Abed,"Hey, guys. Welcome to Fluffy Town. No smoking, no farting."
Annie,We're in a chase.
Abed,That's allowed.
Jeff,There he is. Abed Follow us.
Troy,But afterwards you should really check out our civil rights museum.
Jeff,"Leonard, back up."
Abed,"You shouldn't even be in here, Leonard. You already have three farting strikes."
Annie,He's getting away!
Troy,I know a shortcut. Through the Turkish district!
Woman,"Hey, man."
Troy,Britta?
Britta,Hey.
Annie,Go
Jeff,There he is. What the hell is this?
Troy,"Latvian Independence Parade. Don't look at me, they had the proper permits."
Annie,"Dang it. We lost him. Luckily, I sent the diorama car to the chem lab to have the expl*sive analyzed. We could..."
Troy,Isn't that him playing the trejdeksnis?
Jeff,"Nice try, Woolley. Now tell us everything."
Professor Woolley,Tell you? I'll show you.
Annie,What is this place?
Professor Woolley,"This, Annie, is night school. Every student, every teacher, every class. Figments. Puffs of hot air from the lips of a ghost in the shadow of a unicorn's dream. I made it up. Night school doesn't exist. I used to be a student here at Greendale like you. Then one day, I invented a fake course to get a free credit. I had to create a fake teacher, who needed other fake classes that needed to be filled with fake students and so on, and so on, and so on, exchetera."
Jeff,"Did you just mispronounce ""et cetera""?"
Professor Woolley,"My Latin class was fake, Jeff. Like all my classes, like my life. Aren't you listening?"
Jeff,"Yeah, I am. And a very familiar feeling is starting to come over me. Someone is trying to teach me something."
Professor Woolley,"Jeff, the only thing that's ever been learned in this room is regret. Would that this desk were a time desk so that I could correct my past mistakes, ride dinosaurs. Fight with Jack the Ripper."
Jeff,"Wait a minute, wait a minute. Unicorns? Ghost lips? Time desks? Doesn't any of this overly stylised garbage remind you of anyone? Everything this guy says is ripped from the sure-to-be-unpublished pages of Dean Dangerous."
Professor Woolley,I don't know what you mean.
Jeff,"Oh, I think you do. By the way, next time you walk someone to your fake lair, don't pass the Theater Department. Drama Professor Sean Garrity."
Annie,Whoa.
