character,line
Abed,"Yep, wanna join us?"
Annie,"Totally! Wait, you guys never let me rap with you."
Troy,"Well, we're gonna need all hands on deck if we're gonna go to regionals."
Annie,Cool. I just need to... study... though…in my room. So have fun!
Annie,"And then, this morning, I could hear them in the bathroom, doing country Western mash-ups. And they won't stop talking about regionals!"
Britta,Maybe it's nothing.
Mr. Rad,"Yeah, if ""nothing"" wears a sweater-vest and seems aggressively asexual."
Pierce,"Come on, let's all study for our biology final in our old"
Britta,Where's our table?
Pierce,"Who's that guy? You guys all see him too, right?"
Abed,"Hey, guys."
Troy,"Merry Christmas, y'all. Sorry about the rearrangement. We need this space to rehearse for the pageant."
Jeff,But we're not doing the pageant.
Troy,"Look, guys, I hear your negativity, but also, can I counter with this? Who hates glee? Listen to how that sounds. Glee literally means ""glee."""
Jeff,"Oh, stop it! Not liking glee club doesn't make us bullies, and implying that is reverse bullying."
Abed,Good point. Sing about it? ALL BUT TROY &
Abed,No!
Troy,"I understand them, but you, Pierce? Your generation invented music!"
Pierce,"I don't know about ""invented."" Perfected, maybe."
Annie,Pierce! They're just trying to pander to your demographics' well-documented historical vanity. Resist!
Troy,"Abed, wasn't Santa Claus himself part of Pierce's peer group? I believe so."
Both,"One, two, three, four. Santa Claus was born in 1945 He had a boogie woogie Coca-Cola army jive"
Abed,and when the commies gave the polio to Doris Day Santa helped the Beatles chase McCarthy away that baby boomer Santa he's never gonna die
Troy,Santa fought at Woodstock and Vietnam and smoked a ton of acid and burnt his bra
Abed,"and then in 1970, he did more drugs and his hair stayed long and he grew a mustache"
Both,baby boomer Santa he's gonna stay Ali-I-I-ive
Troy,Santa invented Spielberg and microchips
Abed,Santa invented Coca-Cola and aerobics
Troy,he made the iron curtain and the Gremlins 2 fake butter and AIDS and Twin Peaks!
Both,baby boomer Santa thank you for MTV Ow! Ow! baby boomer Santa thank you for everything
Pierce,You're welcome You're welcome for everything in the world you're welcome you're welcome for all that I bring to the world I'm baby boomer Santa I bring the gift of the world baby boomer Santa I'm an American pearl
Abed,Pierce is on board.
Rad,"That's great! For the Christmas queen, I'm hoping we can get Shirley or Annie. They both have really strong voices and natural vibrato."
Britta,There's also Britta.
Mr. Rad,Britta's adorable! So Shirley or Annie for the Christmas queen.
Abed,There's a leaf on Britta's head.
Mr. Rad,She's playing a tree! And it's gonna be so fun!
Annie,"Mr. Radison, who authorized you to rearrange our study room, and who do you think you are anyway?"
Mr. Rad,"I'll tell you. ABED, MR. RAD &"
Troy,Well well well
Shirley,I'm scared to go into the study room. There are so many top hats in there.
Britta,"I wish there was a way we could stop all this. I mean, I realize the stakes aren't actually that high, but somehow, that just makes it extra scary."
Jeff,I know.
Annie,"Jeff, I think I know what Mr. Rad is up to. There's something you have to see."
Annie,Mr. Rad plans to get every single member of our study group to join the glee club.
Jeff,"Well, I don't know how he thinks that's gonna happen."
Annie,I'll show you.
Jeff,Wha-?
Annie,"This is just one of the many costume changes I'll be doing during the show. We're a shoo-in for regionals, right?"
Jeff,"Annie, you too? This is beneath you. You are an intelligent woman. Also, you're Jewish!"
Annie,I guess I have a lot to learn about holiday tradition. Teach me how to understand Christmas show me how to open a box it hurts my little head when I'm lying in my bed with visions of sugarplum socks Is this a bit? Teach me how to understand Christmas do I trim the tree or the deer? I can't keep it straight and now it's getting late where does the stocking go? here? I can't see! What's a Christmas Eve? is that Santa's lady? are snowmen cold or hot? won't you be my daddy? I'm a silly Christmas baby tell me what to deck 'cause I forgot
Jeff,Annie.
Annie,"Ooh! ""Bwain"" hurt-y, understand-y ""cwistmas"" mistletoe for eat-y, taste good?"" You smarty, me dumb help ""pwetty"" have fun boopy doopy doop boop s*x"
Jeff,"Look, eventually, you hit a point of diminishing returns on the sexiness."
Annie,What's a dimin--?
Shirley,"Stay back, old man."
Britta,Don't even hum.
Pierce,"Shirley, Britta, I have no intention of singing."
Shirley,Good.
Pierce,I can't speak for these little angels though.
Shirley,Oh!
