character,line
Alan,"Or perhaps she doesn't even love that baby, because she spent most of last year not even knowing who the father is."
Jeff,Objection.
Alan,"Establishing character, your honor. This woman is clearly unfit to own a sandwich shop."
Jeff,"Alan, come on."
Alan,No furths.
Jeff,I thought you said you were gonna go easy.
Alan,Felt easy to me.
Evil Abed,What was he wearing?
Britta,He was dressed as a dinosaur.
Evil Abed,Is that why you dropped out of High School?
Britta,I don't know.
Evil Abed,Are those even real glasses?
Britta,No.
Evil Abed,"Ah, do you feel that, Britta? Your timeline's 10% darker now."
Britta,This was 10%?
Evil Abed,"Do you know what kind of person becomes a psychologist, Britta? A person that wishes, deep down, that everyone more special than them was sick, because ""healthy"" sounds so much more exciting than ""boring."" You're average, Britta Perry. You're every kid on the playground that didn't get picked on. You're a business casual potted plant, a human white sale. You're VH1, Robocop 2, and Back to the Future 3. You're the center slice of a square cheese pizza. Actually, that sounds delicious. I'm the center slice of a square cheese pizza. You're Jim Belushi."
Britta,Gasp!
Evil Abed,Ah. 12%.
Britta,Where are you going?
Evil Abed,"To make this timeline the darkest of all. Starting with your lame hero, Jeff Winger. I don't suppose lame Abed owns a bone saw."
Britta,Gasp!
Jeff,"So, Pierce, you're seeking full ownership of Shirley's Sandwiches. After all, you did provide 100% of the financing."
Pierce,Correct.
Jeff,"You really did? Oh, damn it. Jeez, I came to this thing unprepared. I mean, I, I guess it's my job to somehow tarnish you in the eyes of the court, but, uh...let me check my notes."
Pierce,Take your time.
Jeff,"Thanks. Hey, uh, while I'm doing this...does anybody know any funny jokes?"
Pierce,I do. An Irish and a Jew walk into a Chinese laundry...with a gay duck.
Pelton,All right. Okay!
Pierce,"Oh, right! So you're telling me they're not good at basketball?"
Jeff,"I have no questions, your honor."
Girl,Mommy!
Evil Abed,"Cruel. Cruel, cruel, cruel."
Chaplain,"In the name of the five winds...East, West, North, the one we keep secret, and South, I hereby proclaim you..."
Troy,This ceremony is a lie. And having a special room for it is a waste of valuable floor space.
Murray,You are no longer a student here. And we use this room for yoga on weekends. Remove him.
Troy,I am the truest repairman. And this man is a dishonor to making air conditioners work good. And I have the right to challenge him...in the sun chamber.
Chaplain,Holy crap.
Alan,"Your less than honor, can I call a recess?"
Pelton,"Ooh, yay, costume change. Court briefly adjourned."
Alan,"What are you trying to do, Winger? Zealously represent your client? Let me make things a little easier for you. Figure out a way to throw this case, or figure out where you're gonna work when you get out of here, because I don't know where it's gonna be if it's not for us. That's right, Jeff. I went there. You drove me there. Miss Daisy's in the house, thanks for the ride, sorry about slavery."
Jeff,"Don't oversell your clout, Alan. You're partner because I sold you to"
Alan,"Ted's gone. He got too old, couldn't swim with the sharks, and got eaten."
Jeff,That makes no sense. He started the firm. You can't lose your own firm.
Alan,"You can if you're dead. That shark thing was not a metaphor. I'm the big dog now. So you want the last three years in this toilet to have a point? Then I'm the guy you got to make happy. Or, you know, you could finish up your big win here."
