character,line
Pierce,"The next time you even see a cigarette, you will think of things that disgust you. And while you're under so deep, you'll find yourself attracted to slightly older men. Perhaps, some barrel-chested stud with just enough tummy to love. You'll want to buy him dinner, then go back to his hot tub. Perhaps, you'll invite one of your friends to join us for a three-way. Maybe someone with low self-esteem and slightly larger breasts."
Britta,"Go to hell, you disgusting pig."
Pierce,A-ha!
Britta,"Pierce, I was awake the whole time. I was faking it."
Pierce,"I know. I saw you. What do you think I am, some kind of a joke?"
Britta,"No. No, I was trying to make you feel better about yourself."
Pierce,"How dare you pity me? I may be a little older, my ideas may seem weird, and my fashion sense may cause envy. But I have a lot to offer. And I will not be pitied. Do not help me up."
Simmons,"And as German poet Franz Wickmeyer once wrote... ""Snow falls from the heavens pure. ""We cannot blame the snow for being... Soiled by the earth."" Man is good."
Troy,What? That dude gets it.
Professor Whitman,Jeff Winger will now offer a two-minute rebuttal.
Simmons,"Hey, sizzle. What are you gonna sing tonight? I'm in the mood for some Sade."
Jeff,"In the Stanford prison experiment, 21 out of 21 students, when given absolute power, abused and tortured their fellow students. My competitor likens people to pure, falling snow. I would respond, ""there is none righteous. No, not one."" Now I realize Mr. Simmons' quote was from the great Franz Wickmeyer. Mine was just from a simple desert handyman …named Jesus."
Shirley,"Oh, that's nice!"
Annie,Survival of the fittest wires an impulse to eliminate people into our hearts.
Professor Whitman,Counterpoint.
Simmons,Mother Teresa. Joan of Arc.
Professor Whitman,Rebuttal.
Annie,Nuclear bombs.
Simmons,Nuclear families.
Jeff,Abu Ghraib.
Simmons,Apu from the Simpsons.
Professor Whitman,Double rejoinder.
Annie,Telemarketers.
Simmons,Organ donors.
Jeff,Hate crimes.
Annie,Executions.
Jeff,Ketchup is a vegetable.
Pierce,"This is a real barn-burner. God, did I just say cross-burner?"
Shirley,"No, you did not."
Annie,"Oh, good. We make an amazing team."
Jeff,"I know. We're so in sync. It's like a perfect duet or great s... Hey, Professor Whitman."
Professor Whitman,Jeffrey. Your preparation was impeccable. You remind me of a young me with slightly worse hair.
Dean Pelton,I just checked with the judges. They'll need a miracle to win in rebuttal. Simmons is finished.
Britta,This is too much for me.
Annie,"Whoa, whoa, whoa. He's going off book."
Shirley,Why is he ripping up the cards? Doesn't he need the cards?
Abed,It's a gambit.
Simmons,"He hates me, yet he caught me."
Crowd,Ooh.
Simmons,Man is good.
Shirley,"Abed, Abed."
Annie,"He was horny, so he dropped him. Man is evil."
Jean,Greendale wins!
Dean Pelton,"Huzzah! Eat that, Simmons. Alabama, Arkansas I do love my ma and pa"
Annie,"That off-book enough for ya? not the way that I do love you ah, home let me come home"
Troy,Simmons got robbed.
Shirley,They kissed. You do have powers. I'm gonna die by werewolf.
Abed,"Shirley, I don't have powers. Trust me. In my next film, we discover that Pierce is an actual genius."
Shirley,"Well, that's not gonna happen."
Abed,"No, it's not."
Britta,"Pierce, I can't smoke a cigarette without thinking of a three-way in your hot tub. You did it."
Pierce,Yes. I did?
Britta,You're a genius.
Pierce,Ah! Who's the third?
Professor Whitman,You did great in there! Let's take this bacchanalia outside. Full moon tonight. Whoo!
Abed,Shirley!
Annie,"Well, I'm going this way, so..."
Jeff,"Well, um, congratulations, buddy."
Annie,"Thanks, pal."
Annie,Just pat me. TROY'
S Actor,"Donde esta la biblioteca? Me llamo t-bone, la arana discoteca. ABED'"
S Actor,"Discoteca, muneca, la biblioteca es en bigote grande, perro, manteca. TROY'"
S Actor,"Manteca, bigote, gigante"
Troy,"Cut, cut. Let me ask you a question. Do you hate this? Do you hate doing this? Do you? Let me talk to you. Can I talk to you for a second? Just hold on. What is this?"
Abed,I don't know. They're just trying to do what they're gonna do.
Abed,"Uh, just have fun with it. Take 36. Submitted and corrected by: Geneva"
