character,line
Duncan,"Very, very publishable. Abed, I've been a professor of psychology here at Greendale for many years. And I think I see a solution to this that might also help you with your situation. I'd like to do extensive sessions with you, including hypnosis."
Abed,I don't need therapy.
Duncan,"Nobody said you did. I just think it would benefit you and, incidentally, me to get to the real meaning of all this."
Abed,You're right. That's it. I need to find the meaning of Christmas.
Duncan,Ah. Well...
Abed,"If I can find the meaning of Christmas, everything will go back to normal."
Jeff,Asterisk.
Britta,"Abed. The Dean says if you don't get help, they might kick you out of school."
Abed,Why would I wanna be in a school that hates Christmas?
Jeff,He's got a point. Kidding.
(singing),"Sad, quick Christmas song. Sad, quick Christmas snowman. Tragic day gone wrong. Sad, quick Christmas song."
Abed,"I don't suppose you know the meaning of Christmas, lonely snowman?"
Chang,"Apparently, it means getting fondled by singing mental cases."
Abed,My snowman is alive.
Chang,"I'm not a snowman. I'm Chang. What the hell's wrong with you, today?"
Abed,I thought I made you.
Chang,"Yeah, you made me need to cry in the shower tonight."
Abed,"It's a text from Britta. She says, ""The meaning of Christmas is in the"
Chang,"Hey, now that you started it, how about 10 more seconds on that third button, eh?"
Abed,You lied to lure me into a group therapy session?
Pierce,Surprise.
Jeff,Pierce. You promised not to do that.
Pierce,Surprise.
Abed,Not cool.
Duncan,"Ah, hold on, Abed. I'm not just a psych professor. I'm also a"
Abed,You are?
Duncan,"I am. And I can help you find the meaning of Christmas. Right, guys?"
The Study Group,"Oh, yeah."
Jeff,"Oh, this feels safe."
Duncan,"Shut up, Winger. What do you think, Abed?"
Abed,Christmas wizard. Hmm. I guess I can see that.
Duncan,"Have a seat, then. Nothing to be afraid of. All your friends are here. They just want to help."
Pierce,I'm here for the cookies.
Abed,"So, what do we do?"
Duncan,"Well, with your permission, I'd like to put you into a state of Christmasnosis and take you on a magic journey."
Abed,To Winter Wonderland?
Duncan,"Sure. Your own personal Winter Wonderland. Come on, everyone. You all know how magic Christmas journeys work."
Jeff,You are playing with so much fire.
Duncan,"Shut up, Winger. Hands on the table. Eyes closed. Heads relaxing. Necks relaxing."
Troy,Don't relax Pierce any lower.
Pierce,Screw you.
Duncan,"Abed, focus on the sound of my voice and let yourself relax. With each breath, you'll feel..."
Abed,It's beginning.
Duncan,"All right, then."
Abed,"The table's moving. Shaking, like a rocket about to take off. Now it's leaving the floor as the walls and the ceiling fly away. We're in outer Christmas space. There's Planet Holly. And Planet Jolly."
Duncan,"Oh, and what's that up ahead? Ah. It's"
Jeff,Subtle.
Abed,"Yeah, we're descending onto Planet Abed now. It's the most Christmassy planet in the universe. Its atmosphere is 7 percent cinnamon."
Shirley & Annie,Aww.
Abed,We're here. Winter Wonderland. See how sparkly?
Pierce,"What, are you crazy? All I see is the study... Ooh. Sparkly wonderland."
Abed,"You might notice during our journey, you've transformed into Christmas versions of yourselves."
Jeff,Uh-huh.
Abed,Troy Soldier
Troy,Cool. Do I have a gun?
Abed,You have a drum.
Troy,Cool.
Abed,"Britta, you're"
Britta,Uh...
Jeff,Just go with it.
Britta,"Bleep, bloop."
Abed,Teddy Pierce
Pierce,"Bleep, bloop for me too."
Abed,Ballerannie
Annie,Oh. Heh.
Abed,Baby Doll Shirley
Shirley,Baby what? What the hell?
Duncan,"Well, we are making fabulous and unexpectedly intense progress. Now, what I'd like to do is visit the Cave of Frozen Memories."
Abed,Pass. Let's head for the North Pole. The meaning of Christmas will be there.
Duncan,"Um... Well, yeah. Yeah, sure, cheers. And I actually think I know a shortcut to the North Pole through the Cave of Frozen Memories..."
Abed,"Fine. I guess we can take Gumdrop Road through Carol Canyon and stop at the cave. I wouldn't call it a shortcut, but you got us here, so I'll throw you a bone."
(singing),Come with me and walk with me and see what we can find. Accompany me on a journey with me through the wonderland in my mind.
Abed,"Let's move, folks. This isn't going to be fun, easy or safe."
Duncan,"Shut up, Winger."
Jeff,Mm-hm.
Abed,"Fair warning, guys. A journey through Winter Wonderland tends to test your commitment to Christmas. So when I say test, I mean Wonka-style. I'm talking dark. My advice, stay honest, stay alert, and for the love of God, stay between the gumdrops."
Duncan,"Look up there, Abed. I think I see the Cave of Frozen Memories. A great place..."
Abed,"It's actually the Cave of Frozen Peas. It's a common mistake. Don't worry, Christmas Wizard, I got this."
Duncan,Terrific.
Shirley,"Abed, did you say my Christmas self was a baby? Are you sure you didn't say I was a Christmas angel? I think that must be what you said, right, because you respect me too much to imagine me as a baby."
Britta,"Geez, maybe if you cry enough, he'll change you."
Shirley,"Uh, you do know why he said you were a robot, right?"
Britta,Because I'm progressive and kick-ass?
Shirley,How about heartless and godless?
Annie,"I think he just gave us random identities, you guys. I mean, me, a ballerina? It's not like I'm that thin and graceful, right?"
Britta,"Annie, it's because you're fragile and tightly wound."
Abed,"Ladies, cut the non-thematic chatter, and keep your eyes on the prize. We're looking for the meaning of Christmas."
Shirley,"Uh, you know what, Abed? I happen to know the meaning of Christmas. And I'm pretty sure I'm the only one here that does. So I would appreciate a certain level of respect even if I'm a guest in your make-believe, therapy wonderland."
Abed,Therapy?
Duncan,"All right, I am freezing Shirley with my wand. And I am ejecting her from Planet Abed with a remote-control"
Troy,"Oh, nice."
Pierce,Now we're talking.
Duncan,"The point being, if you're not interested in helping Abed, there's no reason to be here."
Pierce,Cookies.
(singing),"Swaddled in her diaper, high upon her throne. The Queen of Christmas babies thought that Christmas was her own."
Jeff,That's wonderful. Let's get back to the magic journey and wrap up. Some of us have women to sleep with.
Abed,You guys hear that? Humbugs.
Troy,Humbugs?
Abed,"Yeah, a whole swarm of them. See? Everyone stay perfectly sincere. Humbugs are attracted to sarcasm."
Jeff,"Wow. Somewhere out there, Tim Burton just got a boner."
Annie,"Jeff, don't be sarcastic."
Jeff,"Oh, are they on me now? Oh, no."
Troy,They're eating him alive!
Britta,If only he could find the power to not be a smug douche.
Jeff,"Oh, no can't do. I'm just a horrible guy. Guess I'll have to go get laid."
Annie,Ooh. Can I sing this one?
