character,line
Jeff,"Well, maybe a fraction of a butt cheek on the line. It's not like I used that stupid Greendale email for anything but p0rn subscriptions and improv show mailing lists."
Elroy,What makes you think it's only your Greendale email they'll be leaking?
Jeff,Because they hacked Greendale.
Elroy,Do you have a computer in your office?
Jeff,Yes.
Elroy,Do you check your emails on that computer?
Jeff,Uh-huh.
Elroy,You look at boobies on it?
Jeff,One time.
Elroy,"They got it. They got everything. It's Vietnam now, baby. It's Vietnam!"
Britta,"Anyways, like I said, thanks."
Britta,Hello.
Annie,Hello.
Frankie,Girls.
Annie,Frankie.
Britta,Francesca.
Frankie,Word around school is our emails have been leaked.
Britta,Is that so?
Annie,"Oh, the first you've heard of it?"
Britta,I guess I heard some rumblings.
Annie,"Hmm, rumblings."
Frankie,Hmm.
Britta,Hmm.
Annie,"Hello, Jeff."
Britta,"Hello, Jeff."
Frankie,Jeff Winger.
Jeff,Annie. Britta. Frankie.
Abed,I hear the hackers leaked our emails.
Annie,Yeah. Something like that.
Abed,Should we help set up chairs?
Annie,Sure.
Jeff,Something was wrong with that one. Bad chair.
Elroy,"Hi, how's everybody doing? I asked a damn question."
Annie and Britta,Fine. Fine.
Abed,New look?
Elroy,I'm glad you like it. I'd hate to think my wardrobe wasn't passing muster with this group. So here I am in a brand new outfit with an up-to-the-minute shirt.
Abed,"Okay. I'm not usually the best at non-verbal cues, so I have to ask, is it possible that everyone here but me read all of each other's leaked emails?"
Everyone,No. Absolutely not. It's possible.
Chang,"I read it all. I read all your crap. I have read everything you guys have ever wrote about me in an email. And you guys are the worst people in the world. Screw you guys. Not cool. Mean, mean, mean."
Elroy,Point it at me and I will eat it!
Chang,What?
Elroy,"I will bite your little finger off and I will eat it! Then, let's see you type more descriptions of my Houseguest-era Sinbad wardrobe."
Chang,Ah-ha. That's a direct quote from a really mean email I wrote about him. So now who's the bad guy?
Abed,Okay. How much of the leak did each of you read? I have a right to fit in!
Britta,"Okay, stop it! Stop it! Why don't we all just admit that we..."
Annie,I'm not admitting it.
Britta,"Oh, Annie, get over it. Come on."
Annie,You had my blood tested for amphetamines?
Jeff,You were extra jumpy last spring. We had to double check to be safe.
Annie,I don't think I'm jumpy enough if my friends can steal my blood.
Britta,"Oh, you gave it to us."
Annie,For that human genome project?
Abed,"We only used half of it for that. By the way, you're one percent Neanderthal."
Chang,Ew.
Annie,"How can you judge anyone, light switch licker?"
Chang,"Like this, ew."
Britta,"You guys hear that sound? That is the sound of the hackers winning. Our school's out there right now, pawing through our dirty laundry, laughing at us, waiting to see what we're gonna do, waiting to see who wins in the battle between terror and cool. We got to be cool, man. We got to be cool. And set up for a show."
Annie,"Abed, if you wouldn't mind please checking the sound system."
Abed,No problem.
Annie,Unless you're too busy telling your girlfriend I don't understand Donnie Darko.
Jeff,Annie.
Annie,I'm cool.
Frankie,"I'll set up the box office. Oh, or will me opening a box office unfairly influence wagers in your betting pool about my sexual preference?"
Britta,"We saw this one coming, and we are so sorry."
Frankie,"Oh, that cuts it. The word sorry fills that crater right to the brim, yeah."
Jeff,"Oh, boo hoo. Your friends are curious about your night life. We kept it among friends. You told human resources I was a functional alcoholic."
Frankie,"I am required to file a report on every teacher, and if you throw another tantrum I will revise yours."
Jeff,"To what? Non-lethal murderer? Armless javelin thrower? What in your unqualified, buzzword-bloated, little red school house of a brain is a functional alcoholic?"
Frankie,What in your brain is a chapstick lesbian?
Jeff,"To me, 300 bucks. Unless you care to refute it."
Frankie,"My sexuality is of zero concern to my job and to everyone here. I swear, if you people were trapped on a tiger-infested island with no food or water, you would judge every ship that came to save you."
Annie,How do the tigers survive without food or water?
Frankie,"Oh, it's not cute, Annie. And I read your entry in the pool. Was your goal to win or just be disgusting?"
Annie,I had to pick last!
Chang,"Yeah, well, we all read about ourselves in your weirdly long, melodramatic emails to your sister, who you might notice never responds. Take a hint."
Frankie,"She's dead. I pretend to write her emails as a journaling device. You wretched, evasive little gremlin."
Britta,"Okay, why don't we just call that rock bottom."
Abed,"Check one, check two. Check one, check two. Well, well, well, it looks like Jeff Winger auto-paid his car insurance and Annie's book club has a meeting tomorrow. Where do you guys find the bad stuff?"
Elroy,"Maybe, maybe what we all need to do here is have everyone in the room address and own one thing that they know is out there. No blame, no shame. Just an explanation. I'll start. Now, I'm sure by now, you've all seen the emails between me and the Patterson family of Herndon, Virginia."
Jeff,Not me.
Chang,No.
Elroy,"I received their first letter as part of a family email chain, Christmas of 2007."
Annie,I don't think you owe us...
Elroy,"Although, I, I didn't understand why they'd written me. I responded politely. When I realized they had somehow mistaken me for their cousin. For some reason, I suppose it was loneliness, I simply failed to disabuse them of that notion."
Britta,"Well, that's..."
Elroy,"I've come to love Barb and George, and Gelson and Riselle. And even Uncle Paul with all his flaws. And even though our relationship is based on a lie, for me it's one of the realest, I'll ever know."
Frankie,"Mmm. I hope you don't think by explaining that, you're off the hook for the 3D models you've been making of our bodies without our permission."
Annie,That's what those photos were for?
Elroy,I'm making a game about lady time travelers.
Chang,"Where, in your pants?"
Jeff,"That's pretty creepy, Elroy."
Elroy,"Oh, you guys are so suave. You're such gentlemen. You and Chang have a daily email chain ranking Annie and Britta one and two."
Jeff,"By which you mean, Chang emails me rankings every day and I don't respond."
Britta,"Except for February 7th, 2013. ""Chang: Britta is one, Annie is two. Jeff, ha, yeah."""
Annie,"Jeff, gross. And Britta, way to instantly memorize the exact date of your big victory."
Chang,"Hey, silver and gold, ladies, ain't no losers there."
Frankie,"Okay, I think we're losing sight of what's important."
Elroy,Says the woman suing her father for $80.
Frankie,Tell it to your fake family. Have you made any creepy boob models of Giselle yet?
Elroy,Riselle is like a daughter to me.
Annie,But arguably more like a daughter to her parents.
Jeff,Didn't you have your own family?
Elroy,"Oh, go write an astronaut. Oh, did anyone see Jeff's letters? He writes to astronauts. Talk about creepy."
Jeff,They're national heroes!
Elroy,"Yes, they are! Leave them alone."
Britta,"Ooh, this I gotta see."
Jeff,"You know, what I don't want to see? Your exchanges with your life coach about the study group when we were dating. Oh, and by the way, clearly, not a life coach, and absolutely, just an Italian sociopath you met at a dispensary."
Frankie,You two dated?
Elroy,This was a study group?
Abed,"Yeah, Chang was our teacher."
Frankie & Elroy,What?
Chang,"That's right, and frankly, haven't been well utilized since."
Britta,"""Dear Reid Wiseman, congratulations on your successful return to Earth..."""
Annie,Lady time travelers?
Jeff,"""Hey, Emilio, I tried what you said about … do you have any more advice?"""
Britta,"""Dear Neil Armstrong, I love you more than"
Pelton,"Hey, guys?"
All,What?!
Pelton,This is Gupta Gupti Gupta.
Britta,"Yeah, hi. Fine, whatever. Congratulations."
Gupta Gupti Gupta,You guys okay?
Jeff,"Ah, to tell you the truth, Gupta Gupti, we've been through a bit of a rough patch."
Gupta Gupti Gupta,"Yeah, the Dean was telling me about it and I've been reading about it."
Annie,Hope you were entertained.
Gupta Gupti Gupta,"To be honest, I'm really grateful. This is the first school in six months that hasn't canceled, so thanks. I'm gonna go get ready."
Pelton,We really did the right thing didn't we?
Britta,"Yeah. It doesn't matter what we read in the leaks or what we said to each other tonight. What matters is that right now here on this campus, the people are in charge. Not the hackers. Not the media, not the cops, the people. Abed, go put on some music. Elroy, Jeff, put out some more chairs. Annie, get ready to introduce our star. Chang, go talk to yourself in the corner. Frankie, let the people in."
Neil,Hey.
Frankie,Hi.
Elroy,Hey.
Britta,"Hey, Neil."
Pelton,Hey.
Gupta Gupti Gupta,That's the whole audience?
Annie,I...
Gupta Gupti Gupta,I can't do a show for one person.
Annie,"Well, you kinda have to."
Gupta Gupti Gupta,But I'd rather not.
Annie,"Well, you have to, jackass, because there's more at stake here than what you'd rather do."
Pelton,"Oh, God. There's a new message from the hackers. Everyone, quiet down! Abed, cut the music. ""People of Greendale, your activities committee has defied our demands, and the horrible racist comedian is still about to perform."""
Britta,"Yeah, that's right. We beat you."
Pelton,"""If this performance goes on as scheduled, all of your information will be published. If you do not want this to happen, you will find a way to stop this performance."""
Pelton,"Whoa! Stop, stop, hey!"
Jeff,"Sit down, Neil!"
Neil,"You can stop me, but you can't stop the people from stopping this show."
Annie,Shhhh. You hear that?
Britta,My God! It's the people coming to stop the show.
Pelton,Now what do we do?
Britta,"We have to stop the people. Their freedom of speech depends on it. Frankie, Chang, bar the doors. Annie, introduce him, quick!"
Gupta Gupti Gupta,I don't wanna do this.
Britta,"Listen, you piece of crap. We've been to hell and back for you. Get up there and do your stupid act for freedom."
Gupta Gupti Gupta,"Okay, okay."
