character,line
Dean Pelton,"I need more! More! Wrong! Fight the power! Fight it with your hugs. Tear down those walls. Okay, you get this wrong one more time, I'm segregating the school."
Britta,To meet different people.
Dean Pelton,You can't even do it when we're helping!
Troy,Somebody help her!
Britta,To meet different people!
Troy,Stop saying I'm different!
Annie,"Dean, we've spent 12 hours on this scene. Maybe it's time to move on to something else."
Britta,"I'm in Psych 101, and even I don't know what's happening."
Abed,The dean is going insane and taking all of you with him.
Troy,"If you know that, then do something!"
Abed,I'm doing everything I can. I only have so many cameras. TROY &
Britta,Oh! Aah!
Jeff,"I've spent an entire day in this thing for no reason. What if the shoot drags on for another day? Or, God forbid, two."
Dean Pelton,"And action, and move."
Shirley,This full-time mama ain't breaking the bank
Dean Pelton,"Cut, cut, cut, cut, cut, cut- Garrett, you're not taking advantage of the motion capture technology. You have to move."
Garrett,I forgot what I am again.
Dean Pelton,"Oh, for crying out- you are a microscope! No, that's a toilet. No, that's clearly a frog who can't get out of a box."
Chang,"Jeff thinks he has it bad? As Jeff's understudy, I have to wear my Jeff wig on top of my Chang hair and then my bald cap on top of that. There's no air getting through here. I'm literally dying. But you'll never hear my story. I mean, now you heard it, but... That was close. EUGENE ("
Richie),Are you sure you can't work a little faster? Nobody asked for perfection.
Dean Pelton,"Well, perfection is what you're getting. And if you don't like it, you can fire me. EUGENE ("
Richie),"Yeah, if we don't like it, at this point, we definitely will fire you."
Dean Pelton,"Good. That's how I like it. Ha! I'm surrounded by assassins. My own school's paper has turned on me. But when this is all over, I'll have a commercial with Luis Guzman in it, and all they'll have are their words and their fears and whatever embarrassing photos they can get from my two-faced mother."
Annie,"Garrett, I've got two men in diapers here. I know one of them is playing the dawn of a new era in education, but I've got nothing on the other one."
Man,"Oh, um, just a guest of the dean's."
Annie,"Well, both of you go that way, then. The dean had his seventh epiphany today, which has given me an epiphany of my own. The dean is a genius. He has to be. If he isn't, I've given almost two weeks of my life to an idiot. That is unacceptable. Therefore the dean is a genius. And I will die protecting his vision."
Abed,Are you by any chance familiar with Stockholm Syndrome?
Annie,"Is it something that the dean created? Because if not, I don't care."
Shirley,"We all wanna go, but the dean won't let us. I think Pierce played this the smartest from the beginning. He's probably at home watching Forensic Files and eating cheesy popcorn."
Pierce,"Well, about time."
Leonard,"Hey, that's for Luis Guzman."
Pierce,"Well, when you get me my trailer, he can have it back. And make it as nice as this one. Hey, Dean. Dean? Hey, Dean!"
Jeff,Pierce mistook me for the dean today.
Pierce,I want windows!
Abed,How did that make you feel?
Jeff,I've become a stranger to myself. I'm bald now. I've always been bald. I merely dreamt of having hair. And now the bald man is awake.
Annie,Jeff? It's time.
Jeff,"Lights, camera, Dean. Action. Why go Greendale? Just because!"
Dean Pelton,Cut. Cut. Lose the bald cap.
Jeff,What?
Dean Pelton,"I don't like it. It's hokey, it's fake. Take it off."
Jeff,No.
Dean Pelton,"I beg your pardon, actor?"
Jeff,I have worn this stupid thing for 12 days. I have made bald friends.
Dean Pelton,"Well, that's your mistake. Because it's a lie. It's Hollywood crap. And I won't allow it in my commercial. You're not bald."
Jeff,"Yes, I am."
Dean Pelton,"Well, then, you're wrong for the part!"
Chang,Understudy!
Dean Pelton,"That's it. That's reality. Winger, you're done. Go home. Go home."
Britta,"Okay, I don't know why, but this is the last straw. As a licensed psychology major, I am declaring this production a violation of human rights. You have made us prisoners of your insanity."
Annie,"Shut your face, Britta. If the dean wants his role to be played by a Chinese man in a blond wig- Oh, my God, you are insane."
Dean Pelton,"All right, I'm sick and tired of hearing complaints that I'm forcing people to be here. Anyone who doesn't want to help me can leave! Abed, stop! Okay. Keep rolling."
Luis Guzman,"Hello? Hello. Hello? Hello, it's me. Luis Guzman."
Dean Pelton,"Hello! Hi. Hi, Mr. Guzman, Dean/Director Craig Pelton. Sorry, I've been editing. It's a little bit of a mess."
Luis Guzman,What the is that?
Dean Pelton,"Oh, that's a possum. Once you spend some time with them, you see they're just like big, gentle rats."
Luis Guzman,Who's the guy?
Abed,I'm no one.
Dean Pelton,"That's Abed. He's a little bit odd. Now, without further ado, here is the commercial you will be staring in."
Voices,Why do I go Greendale? Aah! What's in the box? Ohh...Oh...
Luis Guzman,"I've got to make a phone call. I had to tell this dean I couldn't do his commercial. He didn't take that too well either. Y'all gotta help this dude. I mean, aren't you his friends?"
Abed,I'm more of a fly on the wall.
Dean Pelton,"What is go- what? You won't be in my commercial, but you'll be in his stupid documentary? All he does is follow people around."
Luis Guzman,"Yeah, but haven't you seen Hearts of Darkness? Way better than"
Dean Pelton,"I want you the hell off of my campus, you ungrateful backstabber. I already got rid of your trailer."
Luis Guzman,I had a trailer?
Pierce,Can anyone hear me? I will walk off this production. I will quit! Hello?
Luis Guzman,I come here to shoot this commercial for Greendale. That's what you had written on the script.
Dean Pelton,"Ugh, that script was terrible."
Luis Guzman,I thought it was pretty good.
Dean Pelton,Of course you'd think that. You went here.
Luis Guzman,"Oh, I get it. You're worse than crazy. You're ashamed of your school. And that- that statue of me out there, that's just wrong, man."
Dean Pelton,"Well, the bronze adds ten pounds."
Luis Guzman,"Nah, man- It's not going to be perfect. Screw you. I'm just saying, don't worship the people leaving Greendale. Worship the people that are here. Worship this place. It changes people's life. Look, I loved my time here. I got laid like crazy. That's way before Boogie Nights too. Look, this is a special school. You don't deserve to be here."
Dean Pelton,"Are you still filming, Abed?"
Abed,"Yeah, but try not to address me. I'm not really here."
Dean Pelton,"Neither am I. I don't think I can finish my commercial. But I think I know how your documentary ends. Hi, I'm Craig Pelton, Dean of Greendale Community College. I have failed this school. I have failed it because I thought I was better than Greendale. See, I went to a university, so I thought it was my job to improve this place. But it turns out that the only thing wrong with Greendale is that it's run by an insecure wreck who holds five dances and two talent shows a year because he's afraid that the school isn't good enough. But Greendale is good enough because it accepts me for what I'm not. Greendale is the best school in the entire world, and I'm so sorry what I've done to it. And I'm sorry what I've done to the ice cream machine. Aah! Please, no one eat out of it until you clean the nozzles. The janitor knows how. I'm horrible. I'm horrible. Gentlemen, what I'm about to show you is not the commercial you paid me to create. What I am about to show you is a glimpse into my mind and soul. Please hold your questions until the end. I know you will have a lot of them, but I'll understand if you'd rather I just leave."
Troy,Why do I go Greendale?
Annie,The dean is a genius.
Britta,To meet different people.
Shirley,"With three kids at home, you better believe every penny counts."
Luis Guzman,I loved my time here. I got laid like crazy.
All,So why should you- Why should you- Why should you go to Greendale?
Dean Pelton,Greendale is the best school in the entire world.
All,"Go Greendale, go Greendale, go!"
Carl,"It's good. Y-you know what, better than good. Good enough. EUGENE ("
Richie),Is there any more of the crazy Chinese guy? He pops.
Dean Pelton,I'm confused. That's not my commercial. I-I didn't make that.
Carl,"Yeah, yeah, okay, Zemeckis, it moved through you. Anyway, congratulations. That should last us another 16 years. So, uh, what's next? EUGENE ("
Richie),Chump's rusty bucket?
Carl,Quarter taps.
Dean Pelton,Did you do this?
Abed,You did mostly. You got the footage you needed on the first day. I added a little bit of my footage to fill in the gaps.
Dean Pelton,I thought you were a fly on the wall.
Abed,"Some flies are too awesome for the wall. Documentarians are supposed to be objective, to avoid having any effect on the story. And yet we have more effect than anyone. Because we decide to tell it. And we decide how it ends. Will your story be yet another sad one of yet another man who just wanted to be happy? Or will your story acknowledge the very nature of stories and embrace the fact that sharing the sad ones can sometimes make them happy?"
Dean Pelton,"Ugh. Before you say anything... Nope, I've got nothing. Can you just forgive me?"
Jeff,Yep.
Dean Pelton,Why?
Jeff,Because we've all been there. Which is why we're all here.
All,Aww!
Dean Pelton,I'm a good Dean?
All,Yeah.
Dean Pelton,Can someone help me get a live possum out of my office?
Shirley,We could do that.
Dean Pelton,"It just keeps jumping and skittering. And you think you're prepared, and then it skitters again."
Abed,"Okay, scene's over."
Britta,Hmm?
Assistant,"They'll be ready for you in 20 minutes, Mr. Garlin."
Mr. Garlin,Great.
Pierce,I'm a star! Give me that. I will not be mitigated.
Mr. Garlin,"Okay, you know what? I'm not coming out of this trailer until I get a new trailer. And get me a granola bar! Submitted and corrected by: Geneva"
