character,line
Ted,"Just want to thank everybody for coming. You know, when I became a lawyer, I had a dream. I had a dream that one day I'd be head of a firm so nobody would be able to talk about the big, weird hole in my hand. I know everybody talks about it behind my back. That's okay. You know, I would. What's great, though, is that you don't stare or ask any questions. And as a reward for your restraint, I got a little something for you. There. That ought to keep you going till Christmas. Everybody have fun tonight."
Jeff,Anyone else with that hand would wear a glove. He controls a room with it. He's the master.
Alan,"Well, he sure is a fan of yours. Oh, um... Hey, when you talk to him, will you mention me? He keeps passing me over for partner."
Jeff,"Alan, did you invite me here with an ulterior motive? God, I miss this place."
Britta,"God, it's a sea of Wingers. This whole place reeks of moral ambiguity."
Pierce,"Actually, that was me. I apologize. Now, you guys are new to high society, so just follow my lead and you'll be fine."
Jeff,"First, why are you here? Second, I don't care. Leave."
Britta,"As a matter of fact, Jeff, we were invited."
Jeff,Why would anyone do that?
Alan,"Hey, you guys made it. Come on in."
Jeff,"Before this gets more embarrassing, what is your misguided plan?"
Shirley,To apologize to you for casting aspersions on your friend.
Pierce,And to show you we can be cool.
Ted,"Hey, is that Jeff Winger?"
Jeff,"Find Annie and leave. Hey, man. What's going on? Wow, hey."
Britta,"Once Annie gets Alan's office number, you break into his office. Hack into his e-mails and find proof that he screwed Jeff over."
Annie,"Fourth floor, 470. First he said it was 69. I wanna rub Purell on my brain."
Ted,"You are so missed here. If we had five guys with your ba*ls, we wouldn't need 30 lawyers."
Jeff,"True, but we'd need a good doctor."
Alan,"Ted, stop hitting on my date. Ha, ha, ha. I'm kidding. We can share. Ha, ha, ha. I get the head. I love the brain in there. Ow, ow, ow. I'll eat it."
Ted,"Hey, everybody, Jeff Winger's here."
Crowd,Hey!
Shirley,Should we notify someone that our team is not gonna make it to the pop-and-Iock-a-thon?
Pierce,You actually think anybody cares?
Chang,Checking in for the Heather Pop-and-Locklears?
Dean Pelton,Okay. And where's the rest of your team?
Chang,They'll be here.
Dean Pelton,You're allowed to start by yourself. But you won't stand a chance without someone...
Chang,They'll be here.
Abed,"I brought stuff people use for capers. Suction cup. Credit card. Chloroform. The credit card doesn't work, the chloroform does."
Troy,"Annie, go back and keep lookout."
Annie,"Why me, lookout? Why not you guys?"
Troy,"If someone comes up, Kanye and Kumar get taken to jail. You get taken to dinner."
Annie,"You guys, I'm the smartest one in this whole group and all I've been used for is bait and distraction. Ugh! Go on your stupid mission. I hope it sucks."
Abed,What did she say?
Troy,"I don't know. All I heard was ""suck."""
Jeff,I'm surprised Alan hasn't made partner.
Ted,I'm surprised I haven't fired him.
Jeff,Why? He's got a better win record than I do.
Ted,"He's a spineless trust fund jag off. I'll tell you what, Jeff. You're the best liar I ever employed. If you can look me in the eye and tell me you actually like Alan, I'll make him a full partner."
Jeff,"Well, I only ever really liked one person. My mom. And she liked my dad. And after all the dust and the custody was settled, the guy I really admired... Not liked, admired. Was the lawyer leaving the courthouse in the great-Iooking suit and a sky-blue Mercedes SLK."
Ted,Sweet ride.
Jeff,"Sweet job. Sweet life. He didn't care. He couldn't care. And the less he cared, the better he was. We are a special breed because we rise above the sloppy stuff and look at the bottom line. You wanna like your employees? Open a hair salon. You wanna win? Make Alan partner."
Ted,"The student has become the master. Thank you, Jeff. You make me wanna be a worse man. By the way, just because you can't work cases doesn't mean you can't work. Be a consultant."
Jeff,"Ted, that would be amazing."
Jeff,I'll be right back.
Britta,"Hey, Jeff, I'm sure you know Philip. Did you know that if I sleep with Philip once a month, I can use his beach house in Rio whenever I want?"
Jeff,"Wow, you guys are really onto something. I think you've found the world's newest profession."
Shirley,"Guys, guys. I actually have a civil case against that b*tch that stole my husband."
Jeff,"Shirley, don't sue a stripper."
Shirley,Why not?
Jeff,"She's a stripper. Life sued her and she lost. Where's Pierce? Jeez, why am I even worried about him?"
Pierce,Hey. Did you know there's an island in Indonesia where you can hunt people?
Jeff,We need to talk.
Abed,I think this is it. Print it. Nice.
Janitor,Excuse me. Who are you guys? This is not your office.
Troy,I can explain. Let me explain.
Troy,"Oh, my God."
Annie,I didn't know what to do.
Troy,"Oh, my God."
Abed,I usually have one foot out of reality and even I'm freaking out right now.
Troy,You chloroformed the janitor?
Annie,Stop yelling! You got caught!
Troy,You're the one yelling.
Annie,We're in trouble. We have to do something.
Troy,I don't know what to do. My whole brain is crying.
Abed,"Guys, guys, guys. Hey, hey. I have an idea. Okay, it may sound a little weird, but trust me."
Janitor,What's happening?
Troy,Oh. We all got chloroformed.
Annie,Somebody chloroformed all of us.
Abed,And now we're regaining consciousness together.
Janitor,I don't understand. Who is she? Why is she holding a rag?
Annie,That was the worst idea ever. Can we please just run away now?
Abed,Yeah.
Troy,Sorry.
Dean Pelton,It is the fourth straight hour and Ben Chang is still on his own. One can only imagine what is driving him to push himself to such limits.
Chang,My body hurts. My body hurts.
Pierce,Are you jealous because we were fitting in with your cool friends?
Jeff,"No, I'm distracted watching you mutate. Britta, you're not a whore. Shirley, Jesus turned the other cheek. He didn't garnish wages. Pierce, do I even need to say this? It is bad to hunt man for sport."
Pierce,Badass.
Annie,"This is the e-mail that Alan sent the bar association. He stabbed you in the back, Jeff. He's a bad friend."
Jeff,"You're right. He's a bad friend. But he's a good lawyer. I appreciate you guys caring, but you have to understand that I don't. Caring is lethal around here. It's a disease. You guys have it. I don't. So if you do care about me, don't infect me. Now go win that pop-and-Iock-a-thon. I'll see you Monday."
Shirley,It's like watching a soul slip through our fingers. But what more can we do?
Troy,Would you stop?
Alan,"Tango. I don't know how you did it, man, but you're looking at the firm's next partner. If I wasn't actively repressing my bi-curiosity, I'd kiss you on your beautiful mouth."
Jeff,"Well, maybe you can return the favor one day."
Alan,"Oh, maybe I can return it right now. You probably know it was someone here at the firm who turned you in. God, this is really hard."
Jeff,"Alan, it's okay. You can tell me."
Alan,It was Thompson.
Jeff,Thompson.
Alan,Yeah.
Jeff,"Thompson, that adopted three at-risk teens and donated his kidney to a temp."
Alan,All an act. Yeah. Why do you think he quit right after you left?
Jeff,"Well, his wife died."
Alan,"Did she, Jeff? Did she?"
Jeff,"Anyway, congrats."
Alan,"Hey, let's go do some shots with Phil, huh?"
Jeff,"No, you go ahead. I, uh... I think I caught something at Greendale."
Alan,"College chicks. I get you. Ha, ha, ha. You're bad."
Chang,"Come on, it hurts. Come on, it hurts. Come on, it hurts."
Dean Pelton,"Ben, you need to switch up your moves. Whoa, do my eyes deceive me? Troy Barnes tagging in for the save."
Dean Pelton,Only two teams left. The Poppy Lockstockings and the Heather Pop-and-Locklears.
Annie,"Troy, what's wrong?"
Troy,I don't know. My heart's just not in it.
Britta,"Maybe we should quit. I mean, who even cares about this anyway?"
Dean Pelton,"Next up, looks like Jeffrey Winger."
Shirley,"Oh, Jeffrey, you're back."
Jeff,Did you miss me?
Troy,Took you long enough.
Dean Pelton,Oh! Now we got it.
Shirley,"Hey, hey!"
Abed,Yes.
Britta,Moves McGee. Whoo!
Shirley,"Jeffrey, did you punch Alan in his rotten face and storm out?"
Jeff,"Hell, no. That guy is useful to me. Thanks to you, I've got leverage over a spineless jag that just made partner. That is the place I want to work. But I prefer to hang out with cool people. People so cool, they care."
All,Aw.
Jeff,"And now, the puppet."
All,Jeffrey!
Dean Pelton,"Ah, no parking on the dance floor, Winger."
All,"Heh, heh, heh."
Dean Pelton,"No, I'm serious. You're disqualified. The winners are Poppy Lockstockings."
Chang,No! I've been popping and locking for five hours and you threw it all away.
Annie,The contest doesn't matter. What's important is we have each other.
Chang,Then can I be in your study group?
Troy,"Well, that wasn't the deal. We lost, so... That was dope what we did."
Britta,That was so good. The puppet too. The puppet was surprising.
Jeff,"I rolled my ankle during that, you know that?"
Dean Pelton,You know what? He's bringing us down. Let's move him. Can we move him?
Abed,"Psst! Troy, it's me."
Troy,Abed?
Abed,I made it through. I'm a cartoon now.
Troy,That's impossible.
Abed,"Nothing's impossible in here. Animals talk, your heart is shaped like a heart and the smell of pie can make you float. You have to believe, Troy. Wait, you don't have to believe."
Troy,I didn't. I didn't.
Abed,I may have done some damage there.
