character,line
Jeff,"Keep the change, Garret. You know what? Keep the hot dog."
Abed,"You're telling me after all this, our suspect's gonna slip away on the technicality that we're not police?"
Jeff,"Okay, look, you don't need authority to get a confession. You need leverage. Something to hold over his head."
Troy,Like what?
Jeff,He's Star-Burns. Break into his locker. You'll find enough dirt to bury him.
Annie,"Jeff, that's not ethical."
Jeff,"Oh, so now you're finding your softness? I say do what you have to do. It's too late to get compassionate. We only have time to get justice."
Staff Member,I really shouldn't be doing this. And you're sure you heard a kitten meowing in here?
Abed,"Not anymore, so hurry up. Whoa, Nelly! Clean up on aisle ""busted."""
Both,Why do they always r... Why do they always...
Troy,You go ahead.
Abed,Why do they always run? There you go.
Troy,Move! Not police business!
Dean Pelton,"Hey, knock much?"
Starburns,Kiss me!
Quendra,What?
Starburns,I'll explain later.
Quendra,No.
Starburns,I'll explain later.
Quendra,The explanation isn't the issue.
Starburns,"Aah! Oh, all right, all right. Look, I-I swiped some beakers for the meth lab that I'm building in the trunk of my car. But that's it. I didn't k*ll any yam."
Abed,Tell it to the biology professor.
Starburns,"Oh, now wait! I know who did it. I left the door open and someone came in. He dropped your yam."
Troy,Will you tell our teacher who it was?
Starburns,If you promise I won't get in trouble for stealing that meth lab stuff.
Abed,"Sure, whatever."
Troy,Fine.
Starburns,Pinky swear? It was the guy with the weird head. The army guy. I heard the jar break and then I saw him running out of the room holding his hand. Looked like he cut himself.
Abed,"Well, well, well. Look at this, Abed. He weaves baskets and lies. TODD. What's this about?"
Abed,It's about the k*lling of our biology yam. Will you please come with us?
Todd,But I'm in the middle of making a handle.
Abed,"He wants it the hard way. Tell him what Shirley said. TROY. Todd Jacobson, you have the right to do whatever you want. Nothing you say or do can be used against you by anyone, but we'd really like it if you came with us. Please and thank you."
Professor Kane,"Make it quick, folks. I have a class in five minutes and none of you guys are in it."
Jeff,"After conducting a full investigation, my study group now has definitive proof that Todd, with malice of forethought, smashed our yam."
Professor Kane,That's a serious allegation. I hope you can back it up.
Annie,"We can place him in the building Monday night. He has a mysterious bandage on his hand, and we have and eyewitness who saw Todd drop the jar and flee."
Professor Kane,"Well, Todd, what do you have to say?"
Todd,I just wanna...
Lt. Archwood,"Don't answer that, soldier! This man is an American hero."
Professor Kane,"And who are you? LT. ARCHWOOD. I'm Lieutenant Colonel Archwood, United States Army. I had the pleasure of commanding this young man in Iraq. I'm staying on his couch this weekend while I'm in town for a wedding. I am a licensed attorney, a veteran of two wars, and I'd like to know why in hell he's being harassed."
Dean Pelton,"Mr. Winger, what is the intention here?"
Jeff,"Simple. When Todd smashed our yam, he stole an ""A"" from us. We want it back."
Lt. Archwood,"You mean if he smashed the yam. All you have is the word of this Mr. Star-Burns, who offers up no explanation as to why he was at the scene."
Dean Pelton,"How about it, Jeffrey? What was Star-Burns doing there?"
Jeff,We agreed to withhold that information as part of a pinky swear with the witness.
Lt. Archwood,A pinky swear? This is ludicrous. This whole school is ludicrous. Who honors the pinky swear of a degenerate over the word of a decorated soldier?
Dean Pelton,I'm inclined to agree with the man in uniform.
Jeff,Shocker.
Dean Pelton,"Jeffrey, tell us what Star-Burns was doing in that classroom, or your group can take an ""F."""
Professor Kane,"Hold up, hold up, hold up. I grade my students. Now, what Star-Face was doing there is irrelevant. What matters is what he saw. I'm upholding the pinky swear."
Lt. Archwood,What?
Professor Kane,"Yo, man, you spent your life in the army. I spent mine in prison. Two places where a man's word is only as good as his uniform. Now out here, it's supposed to be different. And in my class, it will be. You two can plead your case to the class and let them decide your grades."
Jeff,Professor... Thank you.
Professor Kane,"It's not a favor, Mr. Winger. A man's gotta have a code."
Dean Pelton,Awesome. LT. ARCHWOOD. See you in class.
Jeff,Uniform.
Dean Pelton,Oh!
Jeff,Jeez.
Annie,Shirley did some more digging. Turns out Todd's yam never even sprouted.
Jeff,Goes to motive. And Star-Burns puts Todd in the classroom at 8:10. Opportunity.
Annie,"Add to that a cut on the hand and the Winger charm, we might get an A-plus-plus."
Jeff,We still have a lot of work to do.
Abed,"Oh, I think you've done enough."
Troy,Colonel Archwood got to Star-Burns. Threatened to involve the real cops. Now Star-Burns is in the wind.
Annie,He's our only witness.
Abed,"That what you guys do in here? You push your little papers and you make your little speeches, and in the end another dirtbag walks? Huh? Huh?!"
Troy,Abed! Abed! Abed! Walk it off!
Troy,Walk it off! I'm sorry about my partner. He... he's been on edge ever since we switched. You.
Jeff,"Annie, that class already hates us. If we go in there without a case, they'll fail us."
