character,line
Troy,"It is. One, two. Yours is a blanket fort."
Abed,"An awesome blanket fort. But still highly flammable, so no candles."
Troy,What do you think?
Annie,Tweet it?
Troy and Abed,Tweeting it!
Abed,I am not surprised you're so taken aback. This apartment is where dreams come true.
Troy,"We spent our whole lives being told that blanket forts are only for special occasions, like sleepovers or when uncles die. But that's a lie, Annie. You can live in a fort of blankets all day, every night."
Annie,It's so awesome. I'm surprised you guys haven't chosen to live in one.
Abed,"Well, we'll be spending enough time in yours. I mean, it's where we're gonna watch TV."
Annie,"Right. Uh, what's that door over there? That's not a bedroom?"
Troy and Abed,"No. Oh, no, no, no."
Annie,Is it a linen closet?
Troy,Something like that. What's a linen closet?
Jeff,A siesta salad and an iced tea.
Senor Kevin's waiter,Excelente. And for you?
Pelton,Ahem.
Jeff,The gentleman...
Pelton,Oh.
Jeff,...will have a top notch-os and a watermelon Margarita.
Pelton,"Thank you, Jeffrey. So, any brothers or sisters?"
Jeff,And we'll take the check too.
Pelton,Oh! What's the rush?
Jeff,"We're eating lunch, and then I'm leaving."
Pelton,Okay. I just hope that I don't bump into your
Jeff,"Dean, this is blackmail."
Pelton,"Ah! Call me Craig. And call blackmail ""a day at the mall with Craig."" Because that's all I require, Jeffrey. You and I are going to have some fun. And create a few memories. And I suggest you get into it. Because that counts."
Mariachi band leader,"A song for the señor, señor?"
Jeff,"Adiós, amores."
Pelton,"Oh, what a surprise."
Pierce,Mmm. Jeez. This is...this is actually quite calming for some reason.
Jesus,And that's when I realized I had to forgive them.
Shirley,"That's a beautiful story. So inspiring how he came to find the Lord. Isn't it, Britta?"
Britta,"Yeah, yeah."
Jesus,"Well, I didn't exactly have to find the Lord. He was inside me."
Shirley,"Amen! What's your name, friend?"
Jesus,Jesus.
Shirley,Oh. Are you Latino?
Jesus,"No, my child. I am him."
Shirley,You're what now?
Jesus,I am the one true son of God. I was sent here to save humanity.
Shirley,"Oh, no."
Britta,"Well, it is a pleasure to have you in my car, Jesus."
Shirley,"Britta, stop. It's not funny now."
Britta,"Hey Jesus, just curious, what's your position on marijuana?"
Jesus,It was given to us by God. It should be legal.
Britta,"Oh, that's nice."
Troy,"Hear me, hear me!"
Abed,"Presenting the real-life fairy tale of how Princess Annie was saved from Bad Neighborhood Forest by Woodsman Troy. And Bebad, his emotionally unavailable unicorn."
Troy,Brought to you by the girl-yogurt Jamie Lee Curtis uses to poop.
Abed,There's a package of it in the fridge as a welcoming gift.
Troy,"Now, once upon a time there was a beautiful princess named Annie. Hi."
Abed,"Who was harassed every day by Count Spaghetti. Heh, heh, heh, heh, heh. The evil cracksmith who lived outside of her building."
Pelton,"Whoa! I just stand here? Oh, come on, Jeffrey. Get in here! This is gonna be fun! Or else. So we just punch in the numbers?"
Karaoke Employee,That's right.
Pelton,"Okay, you know this one, Jeff. We've sang it a thousand times together in my mind. Huh, huh? Oh come on, Jeffrey. Make or break time. Unless you want to be back here next Saturday."
(singing),There used to be a graying tower alone on the sea...
(singing),"You became the light on this dark side of me. Did you know, that the light that you shine can be seen?"
(singing),"And now that your rose is in bloom, a light hits the gloom on the gray!"
(singing),Jesus loves marijuana! Jesus loves marijuana!
Britta,Amen!
(singing),"Jesus loves marijuana! And drinking human blood, oh!"
(singing),"Baby, I compare you to a kiss from the rose on a gray! Ooh, the more I get of you, the stranger it feels, yeah! And now that your rose is in bloom, a light hits the gloom on the gray!"
Pelton,Ah! That was great.
Jeff,"Yeah, might have been a little fun."
Pelton,Ah! See? And you emailed your therapist that you wanted to be alone this weekend.
Jeff,What?
Pelton,Hmm?
Jesus,"Thank you. Thank you very much. Now, with your permission, I'd like to sing a little song about race-mixing. This one's called ""Don't You Do It."""
Shirley and Britta,Get out!
Pierce,"Ah, good evening, senator. Any requests?"
Pelton,"What do you want to do next? I paid for a full hour, so..."
Jeff,I email my therapist from my Greendale account. The same account where I received an email from physique25 telling me about today's sale. Is that why you're at the mall? You read student emails?
Pelton,"Oh, oh, now the Patriot Act says I can do it, Jeffrey...technically. Need I remind you the nation is at war. Ow!"
Jeff,I'll kill you.
Pelton,"No, Jeffrey, no! Jeffrey, Jeffrey come on! Just remember, we were making memories! No, Jeffrey, no! Aah! No, Jeffrey! No, no, it's too violent! You're scaring me! Don't let the terrorists win!"
Abed,And then the three of them lived happily ever after!
Troy and Abed,Woo!
Abed,And Bebad became the Little Dipper. Neigh!
Troy,The end.
Abed,"Kiss me, woodsman Troy!"
Troy,Mwah!
Annie,You guys! Living here is gonna be fun all the time. Let's make the entire apartment a fort. I'll get more blankets!
Abed,"This is a space we reserved for virtual adventures. Like a playroom, but it only works in our minds."
Troy,We call it the
Annie,But...it's a bedroom.
Troy,"No, no. There's only two bedrooms, including the blanket fort. This is the..."
Troy and Abed,Dreamatorium.
Annie,"All day, I've been jumping through hoops to fit in. Including the literal hoops you put in front of the toilet."
Troy,Yes.
Annie,And you guys are hoarding this second bedroom as some kind of playroom? And making me sleep on a pile of laundry?
