character,line
Summary,After another Spanish class Jeff meets Britta’s friend Vaughn Miller.
Featuring,Señor Chang
Setting,Spanish classroom
Señor Chang,Before we wrap up I’d like to thank you guys for filling out theses volunteer evaluation cards. I found your feedback to be largely constructive and flattering. So graçious on that.
Abed Nadir,De ñada.
Señor Chang,You don’t have to sign your name anymore.
Abed Nadir,Got it.
Señor Chang,But there was one evaluation that was so harsh and hurtful and racist I took the time personally to analyze that handwriting against past exams. And this particular coward...
Featuring,Jeff Winger
Setting,Hallway.
Shirley,"Ooh. Nice day out today, isn't it?"
Jeff,"Yeah, shoot."
Britta,You forget something?
Jeff,"Yeah, I forgot to stagger the timing of my exit with Shirley's. We both have a class across campus and I can't go that kind of distance with ""Oh, that's nice."""
Britta,That's mean.
Jeff,"No, that's not nice."
Featuring,Jeff Winger
Setting,Campus quad.
Britta,"I find Shirley very easy to talk to. Besides, aren't you supposed to have like an Olympic gold medal in jibber jabber?"
Jeff,"Yeah, but I'm a sprinter. I'm at my best during high speed bursts of wit. On a Shirley walk, I'd be winded by that stoner tree."
Vaughn,"Hey, Britta. Hi. What's up?"
Britta,"Hey, Vaughn, how's it going?"
Vaughn,No worries.
Jeff,Interesting. Because I might be worried if I was playing hacky sack a decade too late.
Britta,My class is that way.
Jeff,All right. I just want to point out that we easily walked more than a hundred yards with no awkward pauses. And that is the sign of a true friend.
Britta,So I'm really glad you're not hitting on me anymore.
Jeff,There's the awkward pause.
Summary,Jeff interrupts Britta’s and Vaughn Miller.
Featuring,Annie
Setting,North Cafeteria
Annie,"Aah! Excuse me. Oh, pardon me. Professor Duncan. Professor Duncan. Uh, ooh, sorry. Annie Edison, I'm in your 101 lecture."
Ian Duncan,Oh. Hello.
Annie,I've heard about your special psych lab.
Duncan,The Duncan Principle.
Annie,"Yes. And I know it's limited to second year students, but I had a 4.0 at Riverside High. And I'm not looking down on this school at all. But I'm only here because of a brief addiction to pills that I was told would help me focus but they actually made me lose my scholarship and virginity."
Duncan,Right.
Annie,"If you will let me take your lab early, it would be a real feather in my transcript."
Duncan,"Okay. I've actually been in this situation many times, so I'm just gonna be upfront. I'm not allowed to date students."
Annie,Oh.
Duncan,"But if in spite of that you are still interested, then you may join the lab."
Annie,Oh! Ah.
Duncan,"Okay, you need to bring two human subjects...and it would not hurt your chances a bit if you can lend me a fiver. I seem to have left my purse in my duffle and my duffle at the boot of my lorry so..."
Annie,Oh!
Featuring,Vaughn
Setting,Hot & Brown
Vaughn,I asked politely and the panda took his pants off.
Britta,I never even knew that's what asexual meant.
Pierce Hawthorne,I wonder what this express package could be. Somebody had to get something to me very fast.
Shirley,You brought your mail to campus.
Pierce,"Oh, yes. My Ear-Noculars."
Troy,What is that? It looks like your blue-tooth thingy.
Pierce,"No, no, no. This is my cell phone headset. And this is Ear-Noculars. It's for spies and what-not. Gives you sonic hearing."
Abed,All hearing is sonic.
Pierce,What's that?
Annie,So who wants to be in a psych experiment?
Pierce,"Hey, guys, guys. Annie is talking about some kind of experiment."
Jeff,She's behind you. Not interested.
Annie,Please. You get paid.
Troy,Do they do stuff to your butt?
Annie,No.
Troy,Do you get paid more if they do stuff to your butt?
Annie,No.
Troy,"It's fine, I'll do it, I'm in."
Annie,"Yay! How about you, Abed? It's tomorrow."
Abed,"Oof. Tomorrow, they're showing all four Indiana Joneses at The Vista. I'm really looking forward to the first three. I bought a whip."
Annie,"This is really important to me, Abed. Could you please go as my friend? My really good friend?"
Abed,"Well, I didn't realize we were really good friends. I figured we were really more like Chandler and Phoebe. They never really had stories together. Sure, I'll do it, Chandler."
Annie,"Oh, thank you, Abed!"
Jeff,Oh. I'm gonna go save Britta from that dude.
Shirley,"Yeah, she looks like she's in trouble. Hope he doesn't try to handsome her to death. Ha-ha."
Jeff,Hey.
Vaughn,"What's up, man? Hi, I'm Vaughn."
Jeff,You in line?
Vaughn,"Oh, no, no. We're just, uh We're just chilling. Hey, you're not gonna order coffee?"
Jeff,"Oh, no, I was just seeing if Britta..."
Vaughn,"No judgment, bro. I used to do coffee. Then I made the switch to green tea, it's like filled with these antioxidants and stuff. It's pretty tight."
Jeff,Tight.
Britta,"Yes, I've heard that about green tea. I like green tea. I should make the change."
Vaughn,"Up top, sugar bear."
Britta,"Yeah, give me some of that."
Jeff,"Small coffee, please."
Pierce,Britta's making the change to green tea.
Shirley,Oh! Green tea is good.
Abed,It's great for your skin.
Featuring,Professor Duncan
Setting,Psychology lab
Duncan,"Welcome, research assistants. Turn your attention to the monitor, you will see that our subjects are waiting for the experiment to begin. But it's actually happening right now. You see, the waiting is the experiment. The Duncan Principle is simple. Namely, the more control lost by...Yeah, I'm gonna write this down too, actually. That's a good point. The more control lost by the ego, the more gained by the Id resulting in a surprisingly predictable, emotional eruption or breaking point. Known to Ma and Pa as a good old-fashioned tantrum. Oh, Annie. Why don't you, uh, go and tell our subjects that we're gonna be starting the experiment in five minutes, okay? And, Annie, it's never actually going to start."
Annie,"Hi, everyone. Hi, Troy. Hi, Abed. Hi, Señor Chang."
Señor Chang,"What, a community college Spanish teacher can't use 80 bucks?"
Annie,"Well, we're just running a little bit behind, so we'll probably start in five minutes."
Señor Chang,"No, no, no! No, no, no! Unacceptable! When you say something starts at 9, it starts at nueve!"
Duncan,And we're off.
Shirley,"Did you know we walk the same way after class? I'm sure you didn't or else we would've been walking together, unless you're a jerk, hmm, just kidding."
Jeff,Heh-heh. Let's do it.
Shirley,Mm-hm. Don't go too fast for these dogs. Short legs. Do you like Green...?
Jeff,You got a kid right...?
Shirley,What's that?
Jeff,Nothing.
Shirley,"So Pierce isn't exactly right in the head, is he?"
Jeff,I know a lot of grown men with radar dishes coming out of their ears.
Shirley,He's like Inspector Gadget.
Jeff,"Yeah, go go gadget incontinence."
Shirley,How about that guy that's always around flirting with Britta?
Duncan,"Okay, we're three hours in, let's review what we've seen. And pay close attention to every subject's breaking point. We've got a shouter. That one's a stomper."
Troy,"No, no, no. Annie. What is going on in there? I wasted all day here for you! The Soul Train Awards were tonight! You promised!"
Duncan,And he's out. We got him. Strike three you're gone.
Troy,There is so much dust in here!
Duncan,"You know what? The longer they wait, the harder they break. Buckle up, students. Heh."
Shirley,See how often Hacky Sack takes his shirt off? He'd play shirts and skins in a game of checkers.
Jeff,"I'm so glad to be able to talk to someone about this. I wanted to say something to Britta about it. But we're supposed to be friends now, she'd think I was jealous."
It's more like this,That's right.
And that face you made,That was pretty obviously Annie.
Britta,You broke my trust. You suck.
Jeff,I know and I'm sorry. But I was in a tough position. I couldn't handle just being one of the girls.
Jeff,"Is there a spot on the friendship spectrum between total stranger and having to hear about the guys you date? And, ideally, just a notch underneath driving you to the airport and painting your kitchen."
Britta,How about the friend level where you sometimes have to cat sit?
Jeff,"Done. And if I'm occasionally naked in your dreams, I won't complain."
Vaughn,"Uh some worries, man Some worries."
Jeff,Shirley would've said something funny about that guy.
Jeff,"Oh, no."
Jeff,"Pierce, Pierce, give me your ear thing."
Jeff,He must've heard us call him Inspector Gadget.
Troy,I'm Dr.Doogie Seacrest. I think I'm better than everyone else because I'm 40.
Jeff,"I'm not 40. I can hear you through the window, morons."
Troy,Just pretend like you asleep. Just pretend like you were sleeping.
