character,line
Abed,"Best friends, best friends making a cake. Wait. Ah. Best friends, best friends making a cake. Pew!"
Jeff,I never thought I'd miss it.
Pierce,How come I'm not best friends with anyone in the group?
Annie,Aw!
Pierce,Don't patronize me.
Shirley & Annie,Aw.
(singing),"She'll be coming around the mount-dean when she comes, whoo-whoo."
Pelton,"Just letting the students know that if you're on campus this weekend, you'll have to park on the street because of the carnival. On an unrelated note, I'm into trains now."
Britta,A real carnival? Is the company called Red Beard's Amusements?
Pelton,"Name rings a bell. But with me, that could mean anything."
Britta,I wonder. I have an ex-boyfriend that travels with a carnival.
The Study Group,"Ha, ha, ha!"
Annie,"I'm sorry, Britta. Some things are funny because they make no sense. And that is not one of them."
Pelton,"Well, it looks like my news has incited some doings. And if that's not my job, what is? Choo choo!"
Jeff,"Well, you're also supposed to...ah. Administrate the school."
Pierce,"So, Britta, tell us about your carnival worker boyfriend."
Britta,"Why, so you all can get a big laugh?"
Abed,Yeah.
Jeff,I'd love to have a laugh.
Troy,The exact reason.
Britta,"Fine. I'm not ashamed of my past. And if it entertains you guys, that's great because we're friends. His name is Blade and..."
Study Group,"Ha, ha, ha!"
Jeff,"She invoked friendship to undercut the laugh, and we're still laughing. That's how funny it is!"
Abed,His name is Blade. Is that legal? Shouldn't New Line Cinema be suing him?
Britta,He was called that before that stupid movie.
Troy,He was called that before the fantastic movie.
Abed,And it was a Marvel comic in 1973.
Britta,"Well, nerd alert."
Pierce,"Well, ex-boyfriend named Blade alert."
Shirley,"Ha, ha, ha! Her love life makes Pierce seem with it."
Pierce,Her pain unifies us. She has the King Arthur of bad taste in men.
Britta,"I'm glad you guys are reacting this way. I need to be reminded that he is the worst man on earth. Because if he comes through town and calls me, I will be there in five minutes."
Shirley,I don't understand.
Britta,"Uh,"
Shirley,"Okay, I understand."
Annie,I don't.
Britta,You will.
Jeff,What's that mean?
Pierce,He's hung.
Britta,"Oh, God!"
Shirley,"Pierce, you're disgusting."
Pierce,Just like that I'm disgusting again. I was one of the gang. It was in my hand.
Shirley,"Sometimes, a woman meets a man that she just can't shake from her system no matter much she knows better. I lucked out with Andre, but God help me. As you all know, there's not a lot he couldn't get away with."
Jeff,"So what, Britta? You're in love with a guy who's named after a kickboxing vampire movie?"
Troy,A fantastic kickboxing vampire movie.
Britta,"No, I don't believe in love because of this guy named after a kickboxing vampire movie."
Annie,"Oh, Britta!"
Shirley,"Oh, sweetie."
Troy,You wanna watch
Abed,Yes.
Jeff,"Ugh, I love that I have a locker now. All that wasted time going to"
Annie,You're gonna change your shirt?
Jeff,Not if it's working.
Annie,It's not working.
Jeff,Yeah. You're right. I knew it.
Woman,I'll have what she's having.
Annie,"Hey, grow up, lady!"
Britta,Annie!
Annie,His shirt wasn't working!
Britta,"I need your help. It is Blade's carnival that's coming. He's working the BB gun duck-shooting gallery. I guess he finally got the promotion. And he will call me. And left unattended, I will end up doing him like a crossword, and I will regret it. So I need you to take my phone, and don't give it back until Monday!"
Annie,Of course. Okay.
Jeff,For real?
Britta,"Pipe it! And I need to stay with you this weekend. Not just stay with you, I need to be on lockdown. You were a pill head, so think of Blade as Adderall and handcuff me to the radiator like a mother-flipping carny-banging werewolf."
Annie,"I got this. I got this. Our apartment has central heating, but I get the idea. Stay strong."
Jeff,"Man, I wonder how many women I've affected this way."
Britta,"Ha, ha!"
Jeff,"Ha, ha, ha!"
Annie,Ha!
Pelton,"Whoo whoo! All aboard the human being railway! Next stop, spo..."
Vice Dean Laybourne,I'll get to the point. I'd like your student Troy Barnes enrolled in the
Pelton,"Oh, a wonderful opportunity for a young man of...urban race."
Laybourne,"Yet try as I might, I'm unable to make him see it that way. I need you to change his mind."
Pelton,"But if he's not interested, what can I do?"
Laybourne,"Dean, have we forgotten that your school is under the AC Repair School's thumb?"
Pelton,"Uh, we have not."
Laybourne,Then mine is not to tell you how to do what I want done. Mine is to want and to say my want. Yours is to know and to do.
Pelton,"I know exactly what to do. Natalie, could you get me a, um, book on how to do things? You know what, just make me a scotch and soda."
Natalie,Make it yourself!
