character,line
Pierce,"Right, ""white crystal."" You think Dad was into meth?"
Troy,"You can usually get supplies in a town like this. Man, why can't my Mom be here? She always said my video game knowledge would come in handy. I never believed her."
Jeff,Everybody split up and take a hut. Our only chance of beating Gilbert is to cover more ground.
Hilda,I have information on the following topics.
Abed,Holy crap. Where have you been my whole life?
Blacksmith,I buy and sell weapons and armor.
Annie,"Cool. We need weapons. Ooh. Well, what's free? Can we have a torch?"
Blacksmith,Thief! Thief!
Shirley,"Annie, put it back."
Annie,Sorry. Sorry.
Blacksmith,Arr! Arr!
Annie,"Sorry, sorry, sorry."
Shirley,"Oh, my God."
Annie,"Oh, oh! Oh, no!"
Shirley,What are you doing?
Annie,It was an accident!
Blacksmith,Arrr!
Shirley,He's dying!
Blacksmith,Arrrrrr!
Annie,"All right, hold on, hold on!"
Blacksmith,Arrr! Arrr!
Shirley,Now what are you doing?
Annie,He was suffering!
Shirley,"Yeah, from axe wounds!"
Troy,"Well, if this isn't worth any points, what is?"
Pierce,You're asking me? I'm still looking for a pong paddle.
Card player,Let's play poker.
Pierce,"Oh, now we're talking."
Jeff,Check the desk. I'll check the dresser.
Britta,How do I straighten that painting?
Jeff,You can't. Stop playing like a girl.
Britta,"Stop playing like a girl? Here's the thing about women, Jeff. We don't hack and slash our way through life because we're one with life."
Annie,Help me hide the body.
Shirley,"Oh, my lord. Oh, my lord."
Annie,"Shirley, these things happen in video games."
Shirley,They do?
Annie,Yes. We can't get hung up on real world morality. We need to survive and win.
Blacksmith's wife,"Hello, I'm the blacksmith's wife... Aah! Help! Aah! Help! Help!"
Annie,"Oh, crap!"
Shirley,Guard the door.
Annie,What? Shirley!
Shirley,No witnesses! Grab everything you can carry. I'll check upstairs for any more family. Don't give me that look. These are your loose ends. I'm just tying 'em up.
Abed,This is so cool. Where are your clothes?
Troy,Pierce taught me poker. I'm not good at it. You still talking to this girl?
Abed,"Yeah, she only has three moves that you activate with basic patterns of stimulus. I've never felt this way before."
Pierce,"Abed, don't get weird."
Abed,"Oh, I won't. She's not ready for anything serious, but she wants me to meet her family."
Hilda,My father is the blacksmith.
Abed,Her father's a blacksmith.
Shirley,Hello!
Annie,Everybody go shopping? That's all we did.
Troy,Is that hut on fire?
Shirley,"Oh, my. What an unexplained tragedy."
Jeff,Don't we look comfy at a cauldron.
Britta,"Check it out. Ooh, see, I'll put all of this in here, and then that, and then I'll hit this."
Jeff,What is it?
Britta,"I assume, like, a strength potion."
Jeff,Then I assume it's poison.
Britta,You're just jealous because we found a world where I know what I'm doing.
Jeff,This place is 20 cat turds and a
Pierce,What's with the St. Pauli girl?
Abed,Hilda's parents lived there. Now she has no family. She'll be forced to marry a male villager or take her chances in the wilderness.
