character,line
Abed,He says we're leaving.
Britta,Tell him you wanna stay and study film.
Abed,I don't think I'm really in the scene.
Gobi,"See? It's hard to talk to him before, now we have this between us! Let's go."
Britta,Hey! Hey!
Gobi,Don’t touch me! You - You don't touch me!
Jeff,"Stop! Stop! Sir, you have a right to your faith and your family's privacy but Abed is an adult and a U.S. citizen."
Abed,Yeah.
Jeff,...and he has the right to stay.
Gobi,"Fine. You want to raise him? You raise him, I'm out."
Jeff,"Wait, what?"
Britta,"You know, I had a father like you. And the day I finally cut myself loose is the day I finally started being happy."
Jeff,That went well.
Abed,"I have to make some adjustments to my film. Jeff, I think you should play the role of my father."
Jeff,I don't want to be your father.
Abed,"It's perfect, you already know your lines."
Summary,Jeff tries to appease Professor Whitman and help Britta out with Abed.
Featuring,"Jeff, Britta, Shirley, Abed and Professor Whitman"
Setting,Hot & Brown
Britta,Why are you dressed like an '80s rapist?
Jeff,Professor Whitman comes by here every morning and I need him to see me celebrating life. What's all that?
Britta,"I am calculating Abed's expenses. You know, there's books, there's meals, he's renting that camera. He needs a little spending money."
Jeff,Um...All money is spending money.
Shirley,"Oh. Um, Britta, it's amazing what you're doing for Abed. I mean a lot of people talk a good game, but you, you follow through. I love you."
Britta,"Shirley, thank you. Bet that doesn't happen to you a lot."
Jeff,It happened yesterday. Shirley's just doing her homework.
Shirley,"Hillary, thank you for getting people coffee. I love you."
Britta,"Abed, how's it going, buddy? Good, my film is coming together."
Abed,"Cool tie, Jeff, are you wearing that because you're playing the role of my dad, or is it really Christmas?"
Jeff,Definitely Christmas.
Britta,Is that a new camera?
Abed,Yeah. It's more expensive but it lets me adjust really specific settings that most people don't notice or think about.
Jeff,I'm okay.
Abed,"Oh, come on, I got you."
Abed,"No, really, I don't need anything No, really. You're insulting me. Look at all this cash."
Jeff,"Okay. I will get a small, black coffee."
Professor Whitman,Boo. An ordinary coffee for an ordinary life.
Jeff,"Go-o-o-o-o-d morning, Professor Whitman."
Professor Whitman,"Sorry, Mr. Winger..."
Jeff,Shazbat.
Professor Whitman,(To Hilary) I shall have...A birthday cake!
Featuring,Pierce and Troy.
Setting,North Cafeteria
Pierce,"I've seen men in your situation, Troy."
Troy,Tell me more.
Featuring,"Jeff, Professor Whitman, Britta and Abed."
Setting,Campus quad.
Jeff,"It's show time. Hey, everybody, good morning. Good morning, sir. Good morning, Greendale. Hi, good morning. Watch the kite. Uh-oh."
Professor Whitman,"Sloppy..and considering the age of these girls, unwittingly creepy."
Jeff,Damn it!
Professor Whitman,"Had I not already cried at the sunrise this morning, I would be weeping right now."
Jeff,What does that mean?!
Professor Whitman,"What do you mean, Jeff?! What does your life mean?! How long does it take you in the morning to make it look like you have bed-head? How many sweatpants- sports jacket combos did you try before you found the one that said, ""I don't care?"" Seize the day, Jeff. For real. Go running naked in a hail storm. Kiss a girl in the middle of the day. Fly a kite, but do it for yourself. Or you won't just fail my class, you'll fail life."
Britta,Thank you. That guy's really got your number.
Jeff,Drop the flower.
