character,line
Jeff,"Hey, don't accept any drinks."
Britta,"Or any invitations to the bathroom. So, what are you going to order for your first legal drink?"
Troy,What should I get?
Jeff,Whatever you want.
Britta,No wrong answers.
Troy,I like beer.
Britta,Don't order beer.
Jeff,You've had beer.
Troy,What should I get?
Jeff,"What do you think you might like? I mean, it's your world now."
Britta,Follow your heart.
Troy,My Uncle Carl played a big role in my life. Taught me how to throw a football. He passed away this year. His favorite drink was a seven and seven.
Britta,Don't order that.
Jeff,It's an awful drink.
Britta,You're better than that.
Jeff,It's a high school drink for girls.
Annie,"Actually, I'll have a root beer instead of that water."
Bartender,Sure thing.
Annie,Thank you kindly. Y'all are so nice in this town. I'm Caroline. From Corpus Christi. Grew up on a trout farm. Diddly doo...
Robert,Careful. You score any higher on this thing and the Rylans are going to recruit you to fight the Ko-Dan Empire.
Abed,The Last Starfighter. Did you get the 25th anniversary Blu Ray?
Robert,"Was Scorpius half Scarran / half Peacekeeper? Frell yes, I've got Starfighter on Blu Ray."
Abed,You're a fan of the sci-fi original series Farscape?
Robert,Can I buy you a drink?
Bouncer,You got some ID?
Pierce,"Very funny, punk. Get outta my way!"
Bouncer,"You need help, man?"
Pierce,"Oh, you'd like that, wouldn't you? A little turning of the tables?"
Bouncer,Turning of what tables?
Pierce,I don't know! Leave me alone!
Annie,"So, I punched her, right in the face."
Bartender,Your probation officer? Didn't you get in trouble?
Annie,"Hell yes, I got in trouble. Wasn't the first time, won't be the last. I'm not exactly known for my sound judgment. Back in Corpus Christi, they call me Capricious Caroline."
Bartender,What's capricious mean?
Annie,"It probably means I'm too busy living life to learn five dollar words! Ha, ha! Hot damn!"
Jeff,With aged Scotch you never use ice.
Troy,Never use ice. Got it. Why?
Jeff,"Destroys it. At most, what you want: two drops of spring water. Activates the flavor."
Britta,Good Lord. Do they have the rules to high maintenance poser drinking on the wall at L Street?
Troy,Do they?
Jeff,"Poser drinking? Hey, miss ""Vodka neat, four olives?"" What's that called? The Too-Cool-To-Care-Tini?"
Troy,Is it?
Jeff,I bet the forced starkness of that drink order turns a lot of horn-rimmed heads at the Red Door.
Troy,I can't wait to understand these arguments!
Annie,"Hey y'all. Another round for ya, everybody holdin' up? I'll be back in two shakes of a rabbit's ass!"
Jeff,Who the hell was that?
Britta,I gotta go see a woman about the female equivalent of a horse.
Jeff,Classy. Way to show Troy the ropes.
Britta,"Shut up, L Street."
Jeff,That woman is a hurricane.
Troy,Yeah.
