character,line
Featuring,"Jeff, Britta, Annie, Abed, Frankie, Chang, Dean Pelton and Ice Block Head."
Setting,Group Study Room F
Frankie,"All right, that includes all notes and business as it pertains to the files. How are you guys doing?"
Jeff,"Babe, how you doing, girl?"
Britta,"I'm cool, it's all good."
Jeff,"Annie, you're looking fine."
Annie,Thank you.
Ice Cube Head,"Hey, what about me? Hey everybody, look at me! I'm Ice Cube Head! I've got an ice cube for a head. I also eat cell phones, so you better be careful with those cellphones about me, because they taste like prime rib where I'm from. Oh ho ho, boy. Imagine the times we'll all get in together, especially when I use my powers to help solve all your problems. PCHOOO!"
Ice Cube Head,PCHOOO!
Ice Cube Head,PCHOOO!
Ice Cube Head,PCHOOO!
Ice Cube Head,PCHOOO!
Ice Cube Head,PCHOOO!
Ice Cube Head,PCHOOO! PCHOO!
Ice Cube Head,"Whoa whoa whoa whoa, it's getting crazy in here!"
Featuring,"Jeff, Britta, Annie, Abed, Frankie, Chang and Dean Pelton."
Setting,The Vatican
Jeff,"All right, I'm going home."
Chang,What?
Jeff,"Guys, we just finished year six, and it was hard work. And I don't really care about Greendale. And I don't wanna spend my brief moment of humanity doing conceptual riffs, developing the imaginary TV show of our lives. By the way, terrible improve. Ice cube head? You were just looking at your drink."
Chang,Busted.
Jeff,Annie?
Jeff,I got the internship. I got the internship! nI'm gonna intern for the FBI. I'll leave in a week. I'll be in DC all summer.
Britta,"You're leaving the nest. Can I have your bedroom? If you don't come back, if you don't come back."
Annie,"Well, I'm definitely coming back, probably. Maybe, maybe, maybe."
Featuring,"Jeff, Vicki, Garrett, Leonard, Dave, Todd and Scrunch."
Setting,Group Study Room F
Jeff,"Okay, next order of business."
Vicki,"Mr. Winger, Garrett's holding Leonard's hand again."
Jeff,"Garrett, stop doing that."
Garrett,I'm checking for a pulse.
Leonard,"Say, hands off the Leonard dice."
Todd,"Question, when can we start the next paintball game?"
Dave,I don't think you can force it.
Todd,"Lots of things can be forced, like a human head through a six-inch drain pipe."
Dave,...What?
Todd,"Just kidding, pal."
Jeff,"Okay, did anyone on the Sustain Greendale committee do any of their assignments this week. Scrunch?"
Scrunch,"Sorry, bro. I don't work for you. You work for me. I'm the tech billionaire that bought this dump and cuts your paycheck."
Leonard,If you can call that a paycheck. I've seen more zeroes over Pearl Harbor. There were hundreds of them. The sky was black with smoke bombs.
Scrunch,"Double click this, Winger. It's your job to work. It is our job to party."
Vicki,And hatch harebrained schemes.
Dave,And get laid.
Scrunch,And get laid.
Todd,And eventually leave you here as well.
Featuring,"Jeff, Britta, Annie, Abed, Frankie, Chang and Dean Pelton"
Setting,The Vatican
Annie,"Jeff, you okay?"
Jeff,"Huh? Oh, I, I was taken aback. It's big news."
Annie,What have you guys been doing?
Jeff,We were just looking for ways to make season seven work. I mean we've got through six seasons. I mean what's up with that? Where's season seven? I mean we gotta figure out season seven.
Abed,Or maybe we could just hang out.
Summary,Jeff is determined to figure out a next semester/season that includes everyone.
Featuring,"Jeff, Britta, Annie, Abed, Chang, Dean Pelton."
Setting,Group Study Room F
Jeff,"Sorry I'm late. Last night was so insane, it made the insane clown posse look like the well-adjusted clown posse."
Britta,It must be hard work running away from your own age. Has anyone seen my e-cigarette?
Jeff,There should be a charity for people like you.
Britta,Thank you.
Annie,"I don't know if can keep making the commute from here to the FBI headquarters. Britta, Abed, I'll have to move back in."
Chang,I moved in with them.
Annie,"Chang, we have files."
Chang,I'm moving out.
Jeff,"You seem stressed, Annie. Are those last few criminology credits you need hard to get at Greendale?"
Annie,"Please. The only credit that it's hard to get at Greendale is from a bank. It's just, they have schools for this kind of stuff at Quantico. Being with you guys is great, but why is this a good choice for me? Why doesn't the audience feel sorry for me?"
Dean Pelton,"Britta, your parents have been murdered."
Britta,By whom?
Dean Pelton,The police won't touch it. They're calling it a double su1c1de.
Annie,"Britta, I got this."
Featuring,"Jeff, Britta, Annie, Abed, Frankie, Chang and Dean Pelton."
Setting,The Vatican
Jeff,"You're proposing a version of the show in which Annie comes back, and it hinges on the murder of my parents."
Jeff,It's a placeholder. I'm just saying there's always gonna be a need for law at Greendale. You remember the Ass Crack Bandit?
Annie,Do I remember? I mean. Doesn't everybody. Could have been anybody.
Dean Pelton,What is with this diaper thing? Is it about shaming me?
Britta,Do you really want a bunch of people dressing you?
Dean Pelton,It would be polite to try.
Abed,"It's nice to see you interested in this stuff, Jeff, but I wouldn't watch that season."
Britta,"Me, neither. You wanna know a perfect season seven?"
Featuring,"Jeff, Britta, Annie, Abed, Frankie, Chang, Dean Pelton."
Setting,Group Study Room F
Britta,"Well, guess what Senator? You were allowed to call us terrorists before we moved to international waters, but we're a nation now. So I guess this is fucking war. Annie, I'm gonna need you to go to Washington."
Annie,I'm scared.
Britta,Be more scared than that.
Dean Pelton,Britta. The protesters are scared. They need you to talk to them.
Britta,"They should be scared, but they shouldn't need a leader to tell them what to do. We're all born free into a world of lies. But let's talk about you for a second, though."
Dean Pelton,"Well, I'm not a joke anymore. I'm strictly transgender. I'm not all this other stuff. I represent the transgender community, and it's a real thing. I am not crazy, but I do have flaws. I'm smart..."
Featuring,"Jeff, Britta, Abed, Frankie, Chang and Dean Pelton."
Setting,The Vatican
Dean Pelton,"...All this other stuff? Glad to be of service, Britta. I want my diaper back."
Frankie,I don't even own a TV and I wouldn't watch that.
Britta,"Oh yeah, what's your pitch?"
Frankie,"Oh, well I, I mean, it's not that complicated is it?"
Featuring,"Jeff, Britta, Annie, Abed, Frankie, Chang and Dean Pelton."
Setting,Group Study Room F
Jeff,Hello.
"Brita, Dean Pelon, Annie, Abed and Chang",Hello.
Frankie,Hello.
Jeff,How's everyone?
Britta,Hello.
Annie,"I have...We could learn about science or history it's set in a school, after all. Why aren't we learning?"
Annie,"...And I know that's not enough, so...."
Chang,And so on.
Featuring,"Jeff, Britta, Annie, Abed, Frankie, Chang and Dean Pelton."
Setting,The Vatican
"Jeff, Britta, Annie, Abed, Chang and Dean Pelton",BOO!!!
Frankie,It's possible there is more skill to it than I thought.
Britta,YES! YES! YES!
Abed,"There is skill to it. More importantly, it has to be joyful, effortless, fun. TV defeats its own purpose when it's pushing an agenda, or trying to defeat other TV or being proud or ashamed of itself for existing. It's TV, it's comfort. It's a friend you've known so well, and for so long you just let it be with you and it needs to be okay for it to have a bad day or phone in a day. And it needs to be okay for it to get on a boat with Levar Burton and never come back. Because eventually, it all will."
Abed,I'm fine.
Britta,I know. It's not just that. It's just such a classic mistake but...I got really attached to my pitch. I had a sound track in my head and everything.
Jeff,Well I agree with Abed. And I have an effortless pitch.
Abed,Mm.
Featuring,"Jeff, Britta, Annie, Abed, Frankie, Chang, Dean Pelton."
Setting,Teachers' lounge
Dean Pelton,"So, how's this semesters crop of apples looking?"
Chang,Bruised but not rotten. Asian kid in my math class doesn't want to study because he doesn't want to be a stereotype. It's pretty funny.
Abed,Sounds like a strong B story. And I can say that without throwing anyone because I teach TV appreciation.
Britta,Chang you can send that student to me and we'll make it more serious. I’m the school shrink I can wear these glasses every episode.
Chang,You are super hot in them.
Abed,Yeah.
Annie,Very hot.
Frankie,Mm-hm. This gives me a more solid reason to interact with you than a stupid committee. By the way I'm a lesbian. That's why I haven't hit on Jeff.
All,Oh!
Annie,"Here's my deal, I teach criminology. But look, it's the original Annie. ( Shows off cardigan and skirt )"
All,Ah!
Annie,"But I'm grown up and I'm hot, but not little girl hot. And I'm happy and we're all together and it makes sense."
Dean Pelton,We just might live the good life yet.
All,DEAN!
Dean Pelton,DEAN JEFFREY!
Chang,DEAN WINGER!
Jeff,"Dean, I told you not to come into the teachers lounge, you're supposed to be in dean class."
Dean Pelton,How can I learn to be dean if I can't hang out with teachers?
Jeff,"Ah, We're supposed to be shaping minds, but we keep shaping each other. Bring it in."
Featuring,"Jeff, Britta, Annie, Abed, Frankie, Chang and Dean Pelton."
Setting,The Vatican
Dean Pelton,"In this version, will you tell me what to do a lot?"
Chang,Am I on meds in it? I'm mellow and relatable. I like it.
Annie,"I would love to teach at Greendale, and I do miss wearing skirts."
Abed,"Once you swallow the horse pill sized contrivance, it would open up new areas and dynamics. And it's evergreen."
Jeff,"Well great that's settled. How do we make it real? Annie, maybe you should start looking into education classes. You too, Abed."
Abed,"Well, I should probably tell you guys that I'm moving to Los Angeles."
Jeff,What?
Abed,"Yeah, like a real TV executive I was letting you guys work your ass off, because there's no profit in saying no to an idea, but now that it's time for me to commit I have to pass. I got a job as a PA on a Fox show, it's in a video game studio. It's like 30 Rock, meets IT Crowd, meets, well me, I'm growin' up"
Annie,AWWW!
Dean Pelton,Congratulations Abed.
Britta,"That's so great Abed, I'm so happy for you."
Jeff,But you're coming back right?
Abed,Maybe. Probably...Maybe.
Jeff,But six seasons and a movie.
Abed,"Jeff I know it comforts you to look at things through that meta lens, but this is reality. TV's rules aren't based on common sense. They're based on the studio wanting to milk their properties dry."
Britta,Here here. Cheers to that and cheers to Abed.
All,Cheers!
Featuring,"Jeff, multiple Abeds"
Setting,Group Study Room F
Featuring,"Jeff, Britta, Annie, Abed, Frankie, Chang and Dean Pelton."
Setting,The Vatican
Dean Pelton,"What, Jeffrey..."
Frankie,Hey...?
Chang,...And so on.
Summary,Jeff confronts his fears
Featuring,Jeff
Setting,Library
Featuring,"Jeff, Annie and Sebastian"
Setting,Jeff's apartment
Jeff,Annie I'm home.
Annie,Hey there. How was your day? Did anything funny happen?
Jeff,Who cares. How was your day?
Annie,Good. Sebastian did some drawing. Sebastian?
Jeff,Let's look at them. Sebastian.
Jeff,"Sebastian. Back to your child area. Aw, I love you."
Jeff,Are you okay?
Annie,Is this really what you want?
Jeff,"Of course. I mean, I'd be fine with a dog too. But, whatever you want."
Annie,Do you have any idea what I want?
Jeff,...Yes?
Featuring,Jeff and Annie
Setting,Group Study Room F
Jeff,How'd you get in here?
Annie,I pulled the spare key so the dean would stop leaving them under the welcome mat. You left weirdly.
Jeff,"Well, there's no normal way to do anything now."
Annie,"Yeah. You're gonna be fine, you know."
