character,line
Jeff,Pierce. You have something to tell us?
Pierce,"Yes. Is it me, or has it become really obvious that Jeff took the pen?"
Shirley,Yes.
Britta,Yeah.
Abed,Definitely could be.
Jeff,"You wanna make a bet, you jerks? Lockdown. Abed, seal the doors."
Abed,I don't like this.
Jeff,"Yeah, tell it to the pen you might have."
Jeff,Okay. You just became my hero.
Troy,Thank you.
Jeff,No pen.
Annie,I can see that. Why do you keep taking that tone with me?
Britta,"Oh, I'll field that. Because if nobody else has this pen, it means at some point you realized you had it and were too embarrassed to say, and we get to kill you."
Annie,"I'm not hiding my own pen, you paranoid weirdo. Everybody stay within each other's eyelines, please, one of you is a monster."
Abed,"Me next, right?"
Britta,Hold on. Can we please consider the threshold that we are crossing? We don't trust
Annie,He shredded my backpack.
Troy,He freed my pet monkey.
Britta,Because we corrupted him. He's our innocent.
Jeff,He put gum in your hair.
Britta,"Empty the bag, Abed."
Shirley,"Pierce, you don't have a bag?"
Pierce,Giraffe.
Shirley,"Uh, Jeff, you don't have a bag?"
Jeff,"Oh, I could never deprive the world of the portion of my chest the strap would cover."
Abed,"Makes sense. So what's left, Shirley? A little hugging and crying, and then we're done?"
Britta,"Wait, Abed... why is my name in here?"
Abed,That's mine.
Britta,"And Shirley's, and Annie's."
Annie,What is it?
Britta,"Charts, some kind of calendar...?"
Abed,That's my personal private business.
Britta,"""Annie, 4 on, 28 off, next November 10th. Britta, 5 on, 27 off-"" Oh my God, are you charting our menstrual cycles?"
Annie,What? Gross!
Shirley,"Abed, this is so personal. And so accurate."
Annie,"Abed, this is really creepy, I don't understand why you would do this."
Abed,I can explain.
Abed,"Oh, I thought you'd keep yelling over me. Okay I can explain. You know I have trouble reading people, and I say the wrong things sometimes, and I noticed it was happening more often with you three than it was with the others. And then I noticed fluctuating patterns, and I started graphing them. By the time I realized what I was actually measuring, it had started to yield really positive results for everybody, so I kept doing it."
Annie,Were you ever going to tell us about this? I feel so violated.
Annie,Thanks.
Abed,More chocolate?
Annie,Get away from me!
Pierce,Abed just became my hero.
"Annie, Britta, and Shirley",NO!
Pierce,Sheesh. Guess it's true what they say about the sync up.
Abed,"Okay, if I could just take this time to share a few words of sarcasm with whoever it is that took this pen. I want to say thank you for doing this to me. For a while I thought I'd have to suffer through a Puppy Parade, but I much prefer being entombed alive in a mausoleum of feelings I can neither understand nor reciprocate. So, whoever you are, can I get you anything? Ice cream? Best friend medal? Mm-mm? Okay, sarcasm over. You're last up, Shirley. Dump your comedically huge bag and end this."
Shirley,Uh... N-No thank you.
Annie,"Well, well, well, Harvey Keitel."
Troy,"Well, what do you know, Henry David Thoreau."
Britta,"My, oh my, Mike Ty... son."
Shirley,"No, I don't have Annie's pen. I'm simply a Christian woman that doesn't open her bag."
Jeff,What did the Christian woman think would happen when we got to her bag?
Shirley,The Christian woman thought you'd find it on the Muslim.
Britta,Real nice.
Shirley,"Nicer than you, condom-carrier."
Annie,Dump the bag or you're guilty.
Shirley,No!
Shirley,"Oh, Lord, he's thrown a clot! Pierce! Call 911!"
Shirley,No! No!
Annie,"Pierce, you didn't need to do that."
Pierce,"Yes I did. All you guys do is talk, leaving me to do the things you won't do. People like you are the reason we took so long to get into Vietnam!"
Britta,"Is this what you were trying to hide, Shirley? A pregnancy test?"
Jeff,"And more importantly, are they seriously marketing pregnancy tests to black women?"
Annie,"Guys, this is a terribly childish way to handle this kind of situation."
Shirley,"Not that it's, uh, anyone's business, I recently reconnected with my husband over Labor Day. It seems the Lord may have a plan for us that doesn't include that stripper slut he ran away with."
Abed,"You're not pregnant, Shirley. It's impossible."
Shirley,Why does everybody think I'm old? I'm around Jeff's age! I have a uterus!
Abed,"No, no. According to my charts, you couldn't have conceived Labor Day weekend. You would've been ovulating on Halloween."
Shirley,"Halloween? Well... that's that, then."
Britta,"Yeah, what a relief. Looks like someone narrowly avoided a lifestyle mistake of their own. Oh, or is it only bad if you sleep with unmarried men?"
Shirley,"The Bible doesn't recognize divorce, Britta, when you marry a man, he's your man!"
Britta,"Yeah, and after he marries someone else, if you jump into the sack with him, you're an angel, so long as you"
Shirley,I'm so glad you're enjoying this. And I hope whoever stole that pen enjoys it in hell!
Pierce,"Nice try, Stephen Fry."
Britta,Stephen Fry!
Pierce,We all have an agreement. No one leaves till we find it.
Jeff,Here we go.
Annie,Guys! This is school property! Can we just forget it?! It's a
Jeff,Oh? It's a pen now? Really? It's not a principle anymore? Now it's a pen?!
Annie,You're not seriously accusing me. We searched my bag.
Britta,"Which is exactly the last place you'd put it if you found it halfway through all this. In fact, assuming that one of us does have the pen, who among us has the most incentive to make sure it never sees the light of day?"
Annie,You wanna go there?
Britta,Yeah.
Annie,I'll go there. I was born there.
Britta,Really.
Annie,There's a placard there commemorating me.
Troy,What's going on and how can I help?
Jeff,"Annie, relax."
Annie,"No, you relax, Jeff. Or are you scared that if you do, my pen will fall out?"
Jeff,"Oh, you precocious little bitch."
Abed,"Okay, guys, guys, hey, guys, stop. You're being completely illogical. We need to flip the table, divide the group by gender, and then search each other in our underwear."
Shirley,What?
Jeff,Now what?
Abed,Everybody shake. Enough to dislodge.
"Annie, Britta, and Shirley",No.
Troy,What are those underwear made out of? They look luxurious.
Jeff,"Oh, they're an organic soy-cotton blend."
Britta,This Gwynnifer must be real special. Don't you usually wear the stripey turquoise Beetlejuice numbers?
Abed,"What does she mean ""usually""?"
Jeff,"Alright, end of the road. We've torn apart the room, we've stripped. There is absolutely no place left..."
Pierce,No. No.
Troy,Dammit. Broke my scissors.
Jeff,Here. Be careful. That's the last pair we have. Also don't cut his legs.
Abed,"I'm worried we've gone too far. This is how supervillains are created. Can't you just make an inspiring Winger speech about trust, throw in a few digs at an easy celebrity target, and put a ribbon on this thing?"
Jeff,"Abed, think about this for one second. If a single one of us leaves this room before we find that pen, how can any of us trust anyone in this group ever again?"
Britta,What's your hurry?
Shirley,I'm clothing myself. I'm not comfortable standing around in my all-together like you two anorexic jezeb-
Annie,"We've all been through a lot today. And I'm sure this pregnancy scare's been weighing on you all week, right?"
Shirley,Mm-hm.
Annie,And maybe that's why you took my pen?
Shirley,What?!
Annie,Where are you hiding it?
Shirley,"Oh my goodness, you-"
Troy,"Alright, here we go."
Jeff,"Pierce, are you using Slim Jims to scratch your legs?"
Pierce,Have we not gotten to a place free of judgement yet?
Troy,"This isn't it, this isn't it, where's the pen, where is it? Where's the pen?! Where's the pen?"
(over PA),"It's getting a little chilly outside, so the animal wranglers have asked every student to pick up a puppy and hold it, so they stay warm while the volunteers hand out tiny, puppy-sized hats. Honestly, I don't know why I'm even making these announcements. There can't be anyone who isn't already on the quad."
Britta,"Annie, I'd just like to say, on behalf of whoever actually stole this pen, I really am sorry about all this."
Pierce,I knew it was you.
Troy,I knew it was
Annie,"All I know is, it could be any of you."
Jeff,"And, for all we know, it's you."
Annie,I wish it were. I really do. I wish I could just find it behind my ear. I'd rather it be that stupid than have to think that any one of us might be this inconsiderate.
Shirley,"After all we've been through, it almost seems impossible."
Jeff,It seems... less than impossible. Something impossible actually seems more likely.
Abed,Here we go. A Winger speech to take us home.
Jeff,What if a ghost took the pen?
Abed,Let him finish.
Jeff,"I am finished. For real, honestly, seriously, why not? Why not just, a ghost took the pen?"
Troy,"Okay, I've been saying that for hours."
Jeff,"And we should've been listening to Troy from the beginning. Guys, look in your hearts, and answer this question honestly. What's more likely: that someone in this group doesn't belong in this group, or ghosts? If we have to choose between turning on each other or pinning it on some specter with unfinished, pen-related business, I'm sorry, but my money's on ghost."
Britta,"Well, I'm not a religious person, but I've seen specials on the paranormal. Anything's possible."
Annie,Relative to the alternative? It actually seems more logical to me.
Pierce,Why would a ghost want a pen?
Jeff,Troy?
Troy,"Okay, so I see it as a lot like the movie"
Dean Pelton,What the hell did you people do in there?
Abed,"Something you and your puppies could only dream of, you non-miraculous son of a bitch."
Dean Pelton,Non-miraculous? Wait! Abed!
(voice over),"Now, who could resist"
