character,line
Pierce,"Really? Maybe I'll wipe my ass with it and throw it off a cliff. That's for sitting in my chair, fatty. I take it that means I'm winning?"
Jeff,"Pierce, you've made your point. You can ruin anything. Now come back and give Neil his sword."
Pierce,I can't hear you over the sound of me rubbing his sword on my balls.
Annie and Shirley,"Pierce, ew!"
Abed,You have...successfully rubbed your balls on the sword.
Jeff,"Abed, don't help him. You're the dungeon master. Just kill Pierce and give Neil back his sword. He's upset."
Abed,"I'm the dungeon master. I have to be impartial, or the game has no meaning."
Shirley,Can you just give Neil a new sword?
Annie,Yeah.
Neil,That sword is one of a kind. It was forged by my ancestors.
Pierce,I hump it.
Jeff,"That's it. Pierce, Abed, I need to have a talk with you in the hall."
Pierce,What? Hey!
Jeff,That kid in there is severely depressed.
Pierce,"Oh, yeah, is that what he told you? From the looks of it, he's been using that line since he was five years old to get an extra slice of pie."
Jeff,What the hell is wrong with you?
Pierce,"I don't like being excluded, Jeff! Do you?"
Jeff,"Yes! Now, go in there and tell him you're giving him his sword, or you are out of the study group."
Pierce,I'm sick of you threatening me and talking to me like a kid and giving me that look you give me like I can't get erections!
Jeff,What?
Pierce,"Abed, I keep running."
Abed,"OK, but since you're working against the group, I need to separate you from them."
Pierce,Good. Who wants to sit with a bunch of fat crybabies anyway? Call me when you're ready for my next move.
Jeff,Pierce refuses to give back the sword. Our new goal is to find him and kill him.
Neil,I think I just wanna go home.
Jeff,"Neil, do not do that. We're gonna get that sword back, OK? Now, is there a way of moving faster than he's moving in his cape of whatever?"
Neil,I guess if we had a Pegasus.
Jeff,"If that's sarcasm, I can't tell. Because everything in this game is silly. Um, Abed, can we get a Pegasus?"
Abed,I can't give you information like that.
Jeff,"Well, there's got to be a town nearby. We will go to that town and ask around...about a Pegasus!"
Troy,Huzzah! Is that right?
Narrator,"And so it was that the group began to describe themselves walking. And as they described themselves walking, so did Abed confirm"
Neil,I walk with them.
Narrator,Until...
Abed,"This is a local elf tavern, but all races are welcome."
Annie and Shirley,Awww!
Abed,"OK, it's a crowded and rowdy evening. Beleaguered gnomes hurry to and fro with glasses of mead for the thirsty elves."
Britta,Beleaguered? Why are they beleaguered?
"Jeff, Annie and Shirley",Who cares!
Jeff,I find a waiter and introduce myself.
Abed,"Argy, barky, aarg, bark, bark..."
Jeff,Why is he a pirate?
Abed,He's a gnome. He only speaks gnome.
Jeff,Anybody here speak gnome?
Britta,"Oh, I do! Lavernica does!"
Jeff,This'll be painless.
Britta,"Hello, my friend and brother."
Abed,"How can I help you, dear madam?"
Britta,"Oh please, no need for such deference. I am no better than a gnome."
Abed,"Yes, you are, madam. You are a human warrior, which is five species classes greater than I."
Britta,That's disgusting. Don't talk like that.
Abed,"I am so sorry, madam! Please don't report me for execution!"
Britta,"Oh! No, no, no, I didn't mean that. Guys, we have got to do something about these gnomes."
Jeff,"Britta, ask the stupid gnome where we can get a Pegasus!"
Abed,"Did someone say ""Pegasus""? A word I understand in every language."
Garrett,OK. Here's all the Dungeons & Dragons stuff I could find. I had to carry it all the way from my car.
Abed,"Following the directions given to you by the gnome, you arrive at a field full of majestic Pegasi."
Jeff,Finally!
Abed,"But, they are guarded by a mysterious and beautiful elf maiden, who seems drawn to Marrrrrr."
Jeff,"Oh. Okay, I explain that we need a Pegasus, and promise to fill it up before we bring it back."
Abed,She flirts with you.
Jeff,I flirt back.
Abed,How?
Jeff,I say something sexy.
Abed,Like what?
Jeff,"Abed...Excuse me, I don't normally do this, but you're the most beautiful creature I've ever seen, and I would love a Pegasus."
Britta,Ugh.
Shirley,Works for me.
Abed,"You're very handsome, you know."
Jeff,"Yeah, I'm not really comfortable with this."
Abed,My stable has a bedding of heather. Perhaps you'd be more comfortable indoors.
Jeff,"Abed, try to look at what you're doing and understand that I don't want to."
Abed,You've offended the elf maiden. She seems disinterested in doing business with you today.
Jeff,What?
Annie,"All right. C'mon. Can we just do this? Hi. Hello, I am Hector the Well-Endowed. You've got a bunch of Pegasi. Let's make a deal."
Abed,What kind of deal?
Annie,"All right, I take her by the hand and lead her to the stable. I light a candle and rip off a piece of my tunic, which I fashion into a blindfold."
Abed,"Oh Hector, I don't know..."
Annie,"Shhh. Shhh. I place it gently over the elf maiden's eyes, I slowly..."
Abed,"Oh! OK. You both fall back, exhausted but still entwined."
Annie,"OK, great! I stroke her hair lovingly and spoon her for the appropriate time before leaving."
Troy,How long is that?
Abed,"Cool, cool, cool. Alright, the elf maiden, thoroughly satisfied, promises you a flock of Pegasi."
Annie,"Oh, excellent!"
Abed,You guys can take a break. I should check on Pierce.
Pierce,I'm here.
Abed,I need to know what you want to do next.
Pierce,"Ha, ha, ha. So many things, Abed. So many things."
Abed,"Guys...I am bringing Pierce back into the room. Because while soaring above the forest of Ingold, you spot a body in an elven cloak"
Jeff,Ha!
Annie and Shirley,Oh!
Jeff,"We got you, dummy! We land."
Abed,"You land safely in the wooded clearing. He is face-down, barely moving, a pool of blood underneath him."
Shirley,I can't tell you how long I've dreamed of this moment...in the game.
Jeff,"Uh, Neil's sword?"
Abed,Clutched in the right hand of the body is the sword of Duquesne.
Jeff,"Sir, I believe this is yours."
Neil,"Thank you, Jeff."
Abed,"Once you get close enough to take the sword, you can see that this body, while definitely dying, is not Pierce."
Britta,What? I turn it over.
Abed,It's the gnome waiter from the tavern.
Britta,What? No. Why?
Abed,"Goodbye, my friend. Thank you for being so respectful toward me."
Britta,"Who did this to you, gnome waiter?"
Abed,I never saw his face. Just so you know...my name...was Kyle.
Britta,Kyle.
Jeff,Britta? He was an imaginary waiter.
Britta,I wouldn't expect you to understand.
Pierce,Ahem. Now!
Abed,"You hear a low rumble on the other side of the tree line, followed by a shrill screech and the beating of heavy wings against the sky."
Annie,"Wait, wings? What's going on?"
Pierce,"Tell me, Abed, are you familiar with the Amburg region of the Edylmann river basin?"
Abed,Of course I am.
Pierce,Then you'll know there's a reflecting pool with a very special amulet at the bottom of it. An amulet that allows the wearer full control over...
Troy,Draconis!
Abed,"The hideous Draconis, an all-powerful red dragon, crashes through the trees into the clearing. Riding atop his shoulders, naked as the day he was born, and controlling Draconis with the amulet is..."
Pierce,"Ha, ha, ha, ha! Say it!"
Abed,Pierce Hawthorne.
Pierce,Scream what I told you to scream!
Abed,Pierce Hawthorne is my master! Prepare to meet your doom!
Jeff,"I run towards Pierce with my broadsword drawn, I attack..."
Pierce,Time stop!
Jeff,Time stop?
Abed,Draconis has tons of spells. The six of you are completely frozen and helpless.
Troy,This is why I wanted to play Chutes & Ladders.
Jeff,"Fine, Pierce, you win. Just kill us and end this."
Pierce,"Oh, no. Killing is too good for you. Cast ""shape change"" on Duquesne."
Abed,What shape do you choose for him?
Pierce,Fat!
Shirley,"Pierce, stop it!"
Jeff,Pierce!
Abed,Duquesne starts gaining weight. How much?
Pierce,Make him as fat as Fat Neil.
Jeff,Pierce!
Pierce,"Oh, right, cry. Let it out. Baste your chubby cheeks in tears of gravy. You weren't crying when you were stealing my friends."
Neil,They asked me to come here.
Pierce,"You know why, right? I've got some fat news, Fat Neil. Don't you know why Jeff Winger, of all people, led the charge on the ""Fat Neil Feel Good"" committee?"
Jeff,"Way over the line, Pierce!"
Pierce,I'll tell you why. Because I was there!
Long haired guy,Where are the bathrooms?
Jeff,"Oh, they're down there by Fat Neil."
Pierce,"That's right, Neil. Your new best friend, Jeff Winger, coined the name ""Fat Neil""."
Shirley,Jeffrey!
Jeff,"Before you respond, I can make it up to you. I'll find a fatter Neil."
Troy,Huzzah?
Neil,"You made up ""Fat Neil""?"
Jeff,"Someone asked where the restrooms were, and you were standing by them, but you were also standing kind of near other Neil."
Neil,So call him skinny Neil.
Jeff,He's actually not that skinny.
Neil,He's bald! He's black!
Jeff,"Well, I don't look at the world through that lens. I'm sorry, I shouldn't be high-roading you. I'm the bad guy."
Pierce,"Now you can all hang out in suspended humiliation and think about what you learned today. One, don't screw with me. Two, invite me to your crap."
