character,line
Jeff,"No, we were lied to."
Abed,This isn't fun. That guy's creepy.
Troy,"Yeah, if there's a human version of Scrooge McDuck, this guy is it."
Annie,This wouldn't have happened if Jeff hadn't taunted him.
Jeff,"No, it wouldn't have happened if you hadn't decided a ""C-minus"" isn't good enough. When are you gonna grow up and realize that grades don't matter outside of school?"
Annie,Ah! That's a lie they tell dumb people when they're fitting them for work boots.
Jeff,"All we needed was a passing grade, and we had it until you dragged us into this mess."
Britta,Judgy face.
Jeff,"All right. I will talk to him, man to man, and try to get our ""C-minus"" back."
Annie,Ah!
Jeff,"Annie, it's the best we can do right now. Let me handle this."
Cornwallis,"Let go of me, you big, hairy nutter!"
Chang,I'm proving my worth to you guys. Do you want me to kill him?
Shirley,Kevin bad!
Chang,I have Changnesia. I'm not a dog.
Annie,"Professor, we're so sorry. Obviously, Kevin made a mistake."
Jeff,Or did he?
Annie,"Why are you ""or did he""-ing him?"
Jeff,"I'm just saying the professor can't get any more tied up, and we can't get any less than an ""F,"" so let's just take a beat and think this through."
Abed,"Okay, this is way better than"
Cornwallis,"So, what exactly is your plan here, Mr. Winger? I mean, I'm certainly not gonna change your grade, and it'll take several days to starve me as I really loaded up on that dreadful tapas."
Jeff,"Oh, but you already have changed it, professor. You just dropped it to an ""F,"" thereby proving the work on the page is not the only factor you consider. And now, thanks to Kevin's complete misreading of the situation, we have our moment of maximum leverage, so let's just talk about this ""F."" Maybe it can come up to a ""C-minus,"" or, who knows, perhaps an ""A."""
Cornwallis,"This is actually a felony. I mean, I will call the police, and you will all go to jail."
Jeff,Let me explain to you why you won't do that.
Troy,"First, he's tied up."
Jeff,"First, you're tied up, and second, who can really be sure what happened in this apartment? Maybe you attacked one of us."
Cornwallis,"Oh, really? Where are the signs of struggle?"
Shirley,Oh.
Annie,"You were full of scotch when things took a dark turn. We'd all heard about your troubles with co-eds back at Oxford, but it was becoming all too real. As you lumbered around the room, we had to assume you were coming after me or Britta."
Shirley,Ah-ah-ahem!
Annie,"Or Shirley, who I didn't mention earlier, because she intimidates you sexually."
Shirley,Thank you.
Jeff,"Point being, let's just take the idea of the police off the table, shall we, professor?"
Cornwallis,Fine. You think you can hold this group together without anyone cracking?
Jeff,"Oh, we're solid."
Cornwallis,"Empires are always destroyed from within. And I can prove it to you from the comparative comfort of this tacky chair. I will give an ""A"" right now to the first person that unties me. The rest of you will fail."
Jeff,Stay where you are.
Abed,This is amazing and possibly all in real time.
Jeff,"Everybody, stop it. No one listen to him. The Professor's job is to make us turn on one another. We hold all the cards as long as we stay united. And, Kevin, you're one of us."
Chang,Thank you.
Cornwallis,"All right. Who will be the betrayer...the type-A Lolita, the put-upon housewife..."
Shirley,Is that me?
Cornwallis,"Or how about you, the odd, emotionless Muslim? I mean, come on, you don't deserve an ""F."" And you know that, because of your impairment, they'll forgive you anyway."
Abed,"All true, but I'm probably not your best target. If you don't mind, I'd like to get some popcorn. Typically, it takes a while for villains to ramp up. Promise not to monologue till I get back?"
Jeff,"Give it up, Professor. You got nothing."
Cornwallis,"Oh, I've got plenty."
Shirley,Why don't we just let him go and be done with this? It's Christmas. We have gifts to unwrap.
Annie,"Don't you see? We can't now or someone will get the ""A."" No one wants to screw the group."
Jeff,"Oh, you see that, Professor? Your offer actually made it harder for you to get untied, because no one wants to be the betrayer."
Cornwallis,"Beware the Ides of March, Mr. Winger. Everyone wants to be the betrayer."
Jeff,What the hell is your game?
Cornwallis,"I'm trying to teach you history. Your failure will be the same as any self-obsessed nation. You only care about each other when you're winning. The Romans loved Rome when it was raping half the world, but when Hannibal came charging over the Alps, the Romans turned on themselves as quickly as you can say, ""e pluribus unum."""
Troy,"I'm pretty sure it's ""anus."""
Cornwallis,"Usually, the cracks are hidden within the alliances. So let's see. In any group of seven, there's bound to be some romantic entanglements. See, I've noticed that the damaged blonde is dating the childish black one. I wonder, does anyone take issue with that pairing?"
Jeff,"You're fishing, professor. No one has anything against Britta and Troy dating."
Britta,"And that's coming from Jeff, and we used to date, so..."
Jeff,"Britta, information is ammo. And what we did was not dating."
Britta,Uh.
Cornwallis,Ah. A little friction. That usually indicates heat.
Troy,"Heat? There's no heat. If there was heat, I'd be nervous, and, if I was nervous, I'd be rambling, and I'm definitely not rambling, so there's no heat."
Cornwallis,"Ah, well, I think we found our triangle. Thank you and welcome to the party, Troy."
Troy,He knows my name.
Jeff,"Guys, keep it together."
Abed,"I missed something great, didn't I?"
Cornwallis,"Enough. It's time to stop arsing about and get serious. So, let's hear it from the one person who needs that ""A"" the most and can't possibly abide by an ""F."" The one person on pace to become class Valedictorian."
Annie,Ah! I would never turn against the group.
Cornwallis,"I'm not talking about you, Miss Edison."
Annie,What? Abed? Jeff?
Troy,Is it me?
Annie,"Oh, my God, Britta?"
Shirley,"First of all, it's me. And second of all, you put Britta ahead of me?"
Britta,None taken.
Annie,"Oh, my God, Shirley. Why didn't you ever tell me about it?"
Shirley,I didn't think it was a competition.
Annie,"Oh, of course you'd play it that way so I wouldn't be expecting..."
Shirley,"A church-going mother of three to be smart, huh?"
Cornwallis,"So, Miss Edison, it's decision time, isn't it?"
Jeff,"Annie, don't listen to him."
Cornwallis,"You know you can't make Valedictorian with an ""F,"" and you can eliminate your competition in one easy step. What else do you have to lose, my dear? I mean, these people, they're not here to support you. I mean, they already hate you for this disaster of a party."
Abed,Not this guy.
Annie,No. I can't.
Jeff,"Give it up, Professor. You've fired all your bullets."
Cornwallis,"No, I've got one more bullet left, and it's a doozy. Mr. Winger, would you like to tell your friends why they did so poorly on this paper, or shall I?"
Annie,Jeff?
Britta,Jeff?
Shirley,Jeffrey.
Jeff,"I tanked my section. I knew you guys would all work hard, so I just coasted. Tom Waits was..."
Annie,Ah!
Jeff,Ow.
Annie,You cost me Valedictorian.
Shirley,He cost me Valedictorian. That was my punch.
Abed,"Jeff, do you have any milk duds?"
Dean Pelton,"Jeffrey, I know you're in there. I can smell you."
Jeff,Did I have the game on too loud?
Pelton,"Is everything okay? I was just spending an evening with my two irresistible lady friends,"
Study Group,"No, don't!"
Jeff,I can explain.
Pelton,"No explanation necessary. Next time you decide to have a party without me, Jeffrey, at least have the decency to do it when I'm in spin class. I'm a blast at holiday-themed parties."
Jeff,Where the hell is he?
Shirley,Professor? Did he leave?
Cornwallis,Why in God's name would I leave?
Study Group,Ah!
Cornwallis,"This is just getting interesting. Now, one of you untied me. I wonder who it was. Who is the Benedict Arnold, the true hero of this story?"
Annie,"Oh, no, what's gonna happen when we find out who betrayed us?"
Shirley,"Hmm, I wonder why you're so scared."
Annie,Ah! It wasn't me.
Troy,Couldn't we just say a ghost did it again?
Britta,We're gonna find out who did it when we get our grade.
Cornwallis,"No, we'll have to find out now. Otherwise, the lesson isn't complete."
Jeff,"But the lesson is complete, Professor. You know what you taught us tonight? That, yes, empires fall, but we're no empire. We're just a bunch of flawed, selfish people. And that's not our weakness, it's our strength. The one thing that we can count on at any given moment is that the six of us are paying for a mistake made by one of us. And that means, at any given moment, one of us is screwing up so badly, that he or she is gonna forgive whoever screws up next. Now I'm gonna do something that Octavian never would. Yeah, I read the book."
Cornwallis,Exactly what the betrayer would say.
Jeff,"Fine, dick. If it was me, I'm gonna lose my ""A"" by tying you up again."
Cornwallis,Ow! What? That's hurting. That's hurting!
Annie,"Now, if you'll excuse us, we have some gifts to open."
Chang,"Ooh, mine first, mine first. Milady."
Shirley,"Mmm, Kevin, did you wrap these presents yourself?"
Chang,"Once again, I'm not a dog. Zoink. Doink."
Annie,"Kevin, how do you tie a knot?"
Chang,"Really simple. So you go...make a little rabbit ear like so, then the kids go marching down the well."
Annie,"Oh, my God."
Jeff,"Professor, you were never tied up."
Cornwallis,What? What do you want me to say? What do you want me to say? That I did it because I'm lonely? That my daughter isn't in town? That she never comes to see me because she finds me too manipulative?
Shirley,Or you could say you're sorry for the whole thing.
Cornwallis,"Yes, I suppose that would be accurate."
Jeff,"And that, as compensation for the mental anguish you caused us, you'll give us an ""A."""
Annie,Jeff. Overreaching?
Jeff,"Fair enough. Maybe you can grade us separately. That way, Shirley and Annie can get their ""A's."""
Shirley,"No, Jeffrey, he can give us an ""F"" or you can give us an ""A,"" but we should all get the same grade."
Cornwallis,"God's sake, don't rub it in. Very well. Seeing as you saved me from my yearly Christmas tradition of plum pudding, roasted goose, and updating my suicide note. Ha, ha. I suppose, I could give you a ""C."""
Britta,Uh.
Annie,Oh.
Cornwallis,Plus.
Study Group,Yay!
Chang,The rabbit hole!
Cornwallis,Merry Christmas.
Study Group,Merry Christmas.
Shirley,Annie!
Britta,"Oh, my God."
Jeff,Wow. That's really great. All right.
Chang,"Oh, poppy poppy paper."
Abed,"No, there's a gift in there."
Britta,Yeah.
Abed,Buttered noodles. My favorite.
Annie,Oh!
Jeff,"Ah, by the way, I didn't get anyone gifts, so my gift to you all is you get to lord it over me for the next year."
Annie,"No, stupid, a gift doesn't create an obligation. It's the obligation that's a gift."
Chang,I gotta drop a deuce.
(on phone),"Hey, it's Chang. No, they're not expelled. I have to do something else."
