character,line
Jeff,"I can't. But you can, so that's fine. So the assignment is to, uh, write a Spanish conversation using those five phrases that"
Pierce,Ooh. Hemingway's lemonade.
Jeff,We don't need to make this a long evening.
Pierce,"What am I, a piece of garbage to you?"
Jeff,What? No.
Pierce,"Got you. Hey, come on, let's have one drink before we work. Mm, mm, mm. To the empowerage of words."
Jeff,To the irony of that sentence.
Pierce,"So, what's up with you Jeffrey? It seems like you got a burr up your ass or something."
Jeff,"Well, I guess that it's, uh I think it's Britta."
Pierce,"Forget Britta. All you have to know about her is her name. What is she, a water filter? I mean, heh, heh, she's ugly."
Jeff,"Okay. Why don't we start with me saying, donde..."
Pierce,What the hell are you doing?
Jeff,Our assignment.
Pierce,"Oh, no, no, no. This is the first time people are gonna see Winger and Hawthorne together. We're gonna show them we're a force to be reckoned with. Come on, let's brainstorm some story ideas. Better yet, before we do that, let's ask ourselves what is a story?"
Jeff,"Oh, my God in heaven."
Featuring,"Shirley, Annie and Britta."
Setting,Outside the front entrance of the library.
(Chanting),We hate Guatemala! We hate Guatemala! We hate Guatemala!
Shirley,"If you like that brownie, you're gonna hate what's going on in Guatemala I'll tell you that. Google it."
Annie,"Okay, once it gets dark, I hand out the candles, and we do what's called a speechless protest. We put tape over our mouths and gather hand in hand in a sea of outraged silence."
Britta,Star-Burns! No! No! No!
Annie,"Britta, what's gotten into you?"
Britta,This is not how you do this.
Shirley,It's not how you do it. We're doing everything.
Britta,"But this is tacky and lame...I didn't mean that, I didn't mean that. I'm sorry. What I meant to say was that this cause is really personal to me."
Annie,"Are you saying that we're not allowed to protest? Britta, you sound just like Guatemala."
Shirley,"Somebody has a case of ‘’luse fringe politics to make themselves feel special but doesn't actually ever want to do anything""’’ - itis."
Britta,"No, I do things. I...I went to...I don't do anything. What can I do?"
Annie,You can hang the Chacata Panecos piñata.
Britta,"You guys realize he was beaten to death, right?"
Shirley,That's where we got the idea from.
Annie,Poignant.
Featuring,"Pierce, Jeff, Troy and Abed."
Setting,Group Study Room F.
Pierce,"All right. Okay, tell me what I've got so far. What we have so far?"
Jeff,"Well, we have something incredibly long and very confusing, and a little homophobic. And really, really, specifically, surprisingly and gratuitously critical of Israel. It's called ""Two Conquistadors."" It should be ""dos."" I mean, it is Spanish class. Oh, which reminds me. The only thing not included in this epic are the five phrases required to get me a passing grade."
Pierce,You're right. Needs more work.
Abed,What are you guys doing?
Jeff,I have no idea.
Troy,We're headed to the demonstration.
Pierce,What hippies?
Troy,Some cause Britta's into.
Abed,"It's a silent protest, lots of candles. Gets the ladies in the mood for social change, if you know what I mean. Good chance to put some miles on this shirt."
Pierce,"You realize these conversations are due in the morning, don't you?"
Troy,"Oh, yeah. Right. What do you wanna do? Tsk."
Abed,"Hola, mi llamo Abed."
Troy,"Hola, mi llamo Troy."
Abed,Donde esta la biblioteca?
Pierce,La biblioteca esta en la cuidad.
Abed,Gracias.
Pierce,"Hacks. Okay, what do we do about the ending of act two?"
Jeff,I'll tell you what we're going to do. We are gonna take this and we're gonna put it in a museum for crazy people. And then we're going to take this and memorize five phrases from it tomorrow morning before class. Good night.
Pierce,"Wait a minute, wait a minute. You're bailing on our first sausage fest? This is your definition of friendship?"
Jeff,"No, this is my definition of you trying way too hard and me finding it harder and harder to stay polite. This was a fine enough way to spend an evening devoid of hope, but the woman I kind of like is out in the moonlight caring about something stupid. And this is my chance to show her that I care enough to act like I care about it too."
Pierce,"That's all you had to say, Jeff."
Jeff,"That was it? Oh, that would have been great if I had done that two hours ago."
Featuring,"Jeff, Britta, Troy, Abed and Pierce."
Setting,Campus Quad
Britta,Nice sign.
Jeff,Thanks. I like what you've done with the place.
Britta,I think was a little too harsh on you. I'm not perfect.
Jeff,I am. I'd be happy to show you the ropes.
Pierce,Awesome. Look at awesome Jeffrey Winger. Too awesome for old Pierce with your hip shirts and your gelled hair and your cool tape over your mouth. Why is everybody wearing tape over their mouth?
Jeff,"It's a protest, Pierce."
Pierce,"Oh, good. Because I know what I'd like to protest how much you hurt me."
Abed,Conflicts like these will ultimately bring us together as an unlikely family.
Troy,You have horrible breath right now.
Pierce,"First, you constantly blow me off, then you want me to do your homework. Then you tell me I'm trying too hard to be your friend so you have to go. You had to come out here to pretend to care about the stupid stuff she cares about. His words, not mine."
Jeff,He is paraphrasing. I’ve got an idea. Why don't you go get a cup of coffee and hold some waitress hostage with a monologue about sperm.
Pierce,"I'll show you some sperm, buddy. Is this your idea? What the hell? Fire! No, I'm not ready to die!"
Jeff,He's He's jumped in the fountain. He's fine.
Woman,Please call 911.
Summary,Annie and Shirley show Britta the results of the protest. Jeff and Pierce give their presentation. Jeff sees some hope with Britta.
