character,line
Study Group,"Pierce, no!"
Britta,"Bring it to me strong, old man monkey strength!"
Dean Pelton,"Okay. Okay, obviously, that was very scary. Post-traumatic stress is a real issue, but with these puppets giving voice to our feelings, we can begin to heal."
Troy,"Hey, come on."
Dean Pelton,This is gonna be a long and arduous process.
Abed,There's more.
Dean Pelton,"Hey, well, excuse Dean for reacting to the natural lull in your story. I'm so sorry. When you hurt, I hurt. What happened next?"
Troy,Whoa.
Britta,We made it. Everyone okay?
Pierce,I'm alive.
Troy and Abed,Square.
Jeff,"Guys, knock it off. Okay, we're all safe. We just have to figure out how to get back to Greendale."
Annie,But we're in the middle of the woods. Where do we start?
Abed,"We need to split into two groups, the survivors and the others. Where's the manifest?"
Shirley,"Oh, stop it with your"
Britta,What if we're stuck here?
Pierce,We need to start a prison system.
Troy,"We'll be stranded here forever, and I've never seen"
Annie,"Guys, guys, we're gonna make it outta here. We gotta relax. We're all gonna be fine."
Study Group,Ahh!
Shirley,What is that?
Annie,"I just want to say, if we're gonna die, I love you guys."
Britta,I love you all too.
Troy,I did see Blue Man Group. I just didn't get it. Why can't they talk? They have so much in common.
Study Group,Ahh!
Abed,Others!
Mountain man,Aaah! Oh! I'm sorry. I didn't mean to startle anybody.
Jeff,And I thought my hair looked fake.
Mountain man,"Oh, you guys are a long, long way from Greendale."
Jeff,How did you know we're from Greendale?
Mountain man,"Oh, from Pierce's shirt."
Pierce,How did you know my name is Pierce?
Mountain man,It's embroidered on your Greendale shirt you got at the student store.
Pierce,How'd you know I got it at the student store?
Mountain man,I'm a touch psychic.
Study Group,Oh! Huh. Hmm.
Mountain man,"Anyway, I used to go to Greendale just like you guys before I came out here to be free."
Jeff,"So this is how Greendale graduates end up, as transient mountain men. Huh. Not as bad as I thought."
Troy,But don't you miss having stuff?
Mountain man,"Out here, you have everything you need. And you can be whoever you wanna be."
Study Group,Huh.
(singing),"Here in the woods, you're totally be free. You can live off the land and be who you want to be."
(singing),We can be our own men.
(singing),And I don't need an A.
(singing),The perfect mom pressure would all go away.
(singing),Greendale is crazy.
(singing),And so is that moose.
Moose,"Hi, Troy."
(singing),Greendale turns people's screws so loose.
(singing),We're no exception to tell you the truth.
(singing),Which is why the woods is perfect for all of you.
(singing),Being socially conscious can be really tough.
(singing),"Ah, here in the woods, you can forget all that stuff."
(singing),I don't like the pressure to always be cool.
(singing),I was gonna say that. Now I don't have a rhyme.
(singing),We all try our hardest...
(singing),But the pressure in college.
(singing),Sometimes get so tremendous...
(singing),That it would be stupendous.
(singing),"To be free, far away..."
(singing),From Greendale.
Britta,I really love these berries. Where are they from?
Troy,My hand is made of rainbow and is magical.
Shirley,They make everything swirl.
Study Group,"Now, we're free far away from Greendale."
Mountain man,Be free my friends. Be free.
Dean Pelton,"Simply inspiring. Ten minutes ago, you weren't even speaking. And now, you've admitted that a strange man hand-fed you psychotropic berries. This is puppet therapy work..."
Garrett Lambert,Dean! There is a fire in the cafeteria!
Dean Pelton,"Garrett, not now! Where was I? Ah! I was healing you. Hmm? Go on."
Shirley,"Well, those devil berries freed our minds and loosened our tongues."
Britta,Your skin is so beautiful and soft. It's like felt.
Troy,"I feel so free out here, like I'm my own man. If Jeff said we had to live out here, I'd totally be down with that."
Britta,Me too.
Shirley,Can I tell you guys a secret?
Study Group,"Yeah, sure."
Shirley,"I was at the grocery store with my kids, and I thought I saw"
Jeff,I love women.
Britta,Mmm.
Pierce,I'm gonna go take a growler.
Shirley,"Anyway, I wanted to follow Andre and the woman, so I left my kids at the magazine stand for just a minute, but somehow, I lost track of time and ended up tailing them all the way out of town. It wasn't even Andre. The horrible part is I forgot my kids and left them all night in the grocery store."
Shirley,"Well, there y'all go, giving me that look, treating me like Judas, judging me like Judy. You know, Judge Judy. She judges people."
Britta,"Shirley, this is the first I've heard of you leaving your kids in a grocery store."
Abed,Me too. I have no memory of you saying that.
Shirley,"Well, if you don't know my secret, why have we all been so awkward around each other?"
Britta,I thought everyone heard my secret.
Annie,I didn't hear you say anything. So nobody else heard my terrible secret about how I...trail off from time to time?
Jeff,Did everyone here reveal a secret?
Study Group,Mm-hmm.
Jeff,"And no one remembers anyone else's, including mine?"
Study Group,Mm-mm.
Troy,Those berries made us real talky but not real listen-y.
Jeff,So if no one heard or remembers anything anyone else said...
Abed,We're in the clear!
Annie,We're in the clear! We're in the clear!
Dean Pelton,I'm a genius! Yeah!
Study Group,We're in the clear!
Annie,"Um, guys?"
Shirley,"Um, don't mind me. I'm sure you guys can get on with your lives without the worst mom ever."
Abed,Sounds good. Anyone up for a movie?
Jeff,"Abed, sit. Shirley, you have nothing to be ashamed of. No one thinks you're a bad mom."
Shirley,"Thanks, Jeff, but I'm...I'm just gonna go home now."
Jeff,"Shirley, wait. I think I know how to make you feel a little less horrible."
Britta,"I like where you're headed. Okay, who's holding? I have four berries, but I am saving them for Laser Floyd."
Jeff,"No, we all need to re-share our secrets sober."
Britta,"Oh, God."
Jeff,"Look, we were all feeling crappy earlier, but at least we were feeling crappy together. Shirley is alone now. This is the only way to put us on equal footing, and if it makes it any easier, we can use these puppets."
Dean Pelton,"Ah, yay!"
Jeff,Shut up.
Britta,Okay.
Jeff,I found the perfect girl for me. And then I met her kid.
(singing),"I said it didn't bother me. But truthfully it did. I promised him I'd make it to a baseball game he had. But I bailed and never called again, and now I'm just exactly like"
(singing),I am an activist. That's always been my choice. Truth is I never voted except when I watched
(singing),I was struggling in history. I'm normally the best. I let
(singing),I caused the Greendale fire of '03. Fifty-five acres went up in ablaze all because I burned an ant hill.
(singing),The secret inside me was trapped beyond a doubt. And now my most terrible secret's out.
Balloon guide,There you are. Come on you guys.
(singing),I never slept with the great
(singing),The secret inside me was trapped beyond a doubt.
(singing),Now my most terrible secret's out.
Dean Pelton,"I wanna thank you all for being so open, and honest, and for syncing your mouth and hand movements. And now, for my most terrible secret. I am not what you would call traditionally..."
Britta,"Wait, Abed, you never told us your secret."
Annie,Oh.
Shirley,That's right.
Abed,"I didn't share one that night. After we got back from the woods, everyone was being silent and not making eye contact. I didn't know why, so I mirrored your behavior."
Annie and Shirley,Awww!
Abed,Mmm.
Shirley,"Thank you, Jeff, and I don't think you're anything like your father."
Jeff,"I don't know how you take care of one kid, let alone three."
Shirley,Aww. That's nice.
Annie,So nobody thinks I'm a slutty cheater?
Study Group,No.
Troy,Or me as a criminal?
Study Group,No.
Britta,"Nobody respects me any less as a political activist, right?"
Annie,"Well, uh..."
Jeff,The level to which we respect you as a political activist has definitely not changed.
Troy,That's right.
Annie,That's how I would say it.
Troy,Exactly.
Britta,Whew.
Shirley,"Bye, Dean."
Dean Pelton,Bye.
Jeff,Yard mars at
Abed,Knowledge is a party.
Dean Pelton,"Once again, I help fix everyone's problems only to go home alone."
Jeff,Who says you have to be alone?
Dean Pelton,Jeffrey.
